Selected Stocks By User,How many Stocks to select?,Start Date,End Date,Duration,Portfolio Value,Risk Factor,Confidence Level,Optimal weigths by CVAR for Numpy,Amount to Invest in each Stock by CVAR for Numpy,Optimal weigths by MVO for Numpy,Amount to Invest in each Stock by MVO for Numpy,Optimal Stocks Selected by Numpy,Optimal weigths by CVAR for QAOA,Amount to Invest in each Stock by CVAR for QAOA,Optimal weigths by MVO for QAOA,Amount to Invest in each Stock by MVO for QAOA,Optimal Stocks Selected by QAOA,Optimal weigths by CVAR for Sampling VQE,Amount to Invest in each Stock by CVAR for Sampling VQE,Optimal weigths by MVO for Sampling VQE,Amount to Invest in each Stock by MVO for Sampling VQE
"['ADBE', 'LRCX', 'BKNG', 'INTU', 'AMAT', 'ADP', 'QCOM', 'ROST', 'SBUX', 'PYPL']",5,"(2018, 2, 17)","(2018, 11, 14)",270,1000000,0.5,0.95,"([0.0035810310563037092, 0.02330427060919804, 0.4123469462768122, 0.4127149212626073, 0.1480528307950789],)","({'ADBE': 3581.031056303709, 'INTU': 23304.27060919804, 'ADP': 412346.9462768122, 'ROST': 412714.92126260727, 'SBUX': 148052.8307950789},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'ADBE': 197819.76838568875, 'INTU': 336654.4725768124, 'ADP': 174487.573483481, 'ROST': 186813.27858492115, 'SBUX': 104224.90696909695}","['ADBE', 'INTU', 'ADP', 'ROST', 'SBUX']","([0.0035810310563037092, 0.02330427060919804, 0.4123469462768122, 0.4127149212626073, 0.1480528307950789],)","({'ADBE': 3581.031056303709, 'INTU': 23304.27060919804, 'ADP': 412346.9462768122, 'ROST': 412714.92126260727, 'SBUX': 148052.8307950789},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'ADBE': 197819.76838568875, 'INTU': 336654.4725768124, 'ADP': 174487.573483481, 'ROST': 186813.27858492115, 'SBUX': 104224.90696909695}","['ADBE', 'BKNG', 'INTU', 'ROST', 'SBUX']","([0.0035810310563037092, 0.02330427060919804, 0.4123469462768122, 0.4127149212626073, 0.1480528307950789],)","({'ADBE': 3581.031056303709, 'INTU': 23304.27060919804, 'ADP': 412346.9462768122, 'ROST': 412714.92126260727, 'SBUX': 148052.8307950789},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'ADBE': 197819.76838568875, 'BKNG': 336654.4725768124, 'INTU': 174487.573483481, 'ROST': 186813.27858492115, 'SBUX': 104224.90696909695}"
"['NVDA', 'ADP', 'ROST', 'AMD', 'VRTX', 'ORLY', 'LRCX', 'AMZN', 'MRNA', 'COST']",5,"(2018, 4, 19)","(2018, 10, 16)",180,1000000,0.5,0.95,,,,,,,,,,,,,,
"['META', 'MRNA', 'MSFT', 'BKNG', 'COST', 'ILMN', 'KLAC', 'NVDA', 'QCOM', 'AMAT']",5,"(2018, 12, 27)","(2019, 12, 22)",360,1000000,0.5,0.95,"([0.31472568908925674, 0.44224082733535197, 0.23211210240504668, 0.002525332966160019, 0.008396048204184554],)","({'MSFT': 314725.68908925675, 'COST': 442240.82733535196, 'KLAC': 232112.10240504667, 'NVDA': 2525.332966160019, 'AMAT': 8396.048204184555},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'MSFT': 197819.76838568875, 'COST': 336654.4725768124, 'KLAC': 174487.573483481, 'NVDA': 186813.27858492115, 'AMAT': 104224.90696909695}","['MSFT', 'COST', 'KLAC', 'NVDA', 'AMAT']","([0.31472568908925674, 0.44224082733535197, 0.23211210240504668, 0.002525332966160019, 0.008396048204184554],)","({'MSFT': 314725.68908925675, 'COST': 442240.82733535196, 'KLAC': 232112.10240504667, 'NVDA': 2525.332966160019, 'AMAT': 8396.048204184555},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'MSFT': 197819.76838568875, 'COST': 336654.4725768124, 'KLAC': 174487.573483481, 'NVDA': 186813.27858492115, 'AMAT': 104224.90696909695}","['MSFT', 'COST', 'KLAC', 'NVDA', 'AMAT']","([0.30369573650767806, 0.4609070705975778, 0.17067577682316262, 0.03485976292874908, 0.02986165314283237],)","({'MSFT': 303695.73650767806, 'COST': 460907.0705975778, 'KLAC': 170675.77682316263, 'QCOM': 34859.76292874908, 'AMAT': 29861.65314283237},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'MSFT': 197819.76838568875, 'COST': 336654.4725768124, 'KLAC': 174487.573483481, 'NVDA': 186813.27858492115, 'AMAT': 104224.90696909695}"
"['AMD', 'PEP', 'MU', 'AMAT', 'ILMN', 'COST', 'META', 'ISRG', 'ADBE', 'BKNG']",5,"(2018, 11, 13)","(2020, 1, 1)",414,1000000,0.5,0.95,"([0.10019367151926303, 0.5021133253802214, 0.27149794456160603, 0.01636140402066341, 0.10983365451824606],)","({'AMD': 100193.67151926304, 'PEP': 502113.32538022136, 'AMAT': 271497.94456160604, 'COST': 16361.40402066341, 'META': 109833.65451824605},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AMD': 197819.76838568875, 'PEP': 336654.4725768124, 'AMAT': 174487.573483481, 'COST': 186813.27858492115, 'META': 104224.90696909695}","['AMD', 'PEP', 'AMAT', 'COST', 'META']","([0.10019367151926303, 0.5021133253802214, 0.27149794456160603, 0.01636140402066341, 0.10983365451824606],)","({'AMD': 100193.67151926304, 'PEP': 502113.32538022136, 'AMAT': 271497.94456160604, 'COST': 16361.40402066341, 'META': 109833.65451824605},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AMD': 197819.76838568875, 'PEP': 336654.4725768124, 'AMAT': 174487.573483481, 'COST': 186813.27858492115, 'META': 104224.90696909695}","['AMD', 'PEP', 'MU', 'AMAT', 'META']","([0.05508564164150721, 0.448334600718057, 0.003695041369020142, 0.36326893493446794, 0.12961578133694776],)","({'AMD': 55085.641641507216, 'PEP': 448334.60071805696, 'MU': 3695.041369020142, 'AMAT': 363268.93493446795, 'META': 129615.78133694777},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AMD': 197819.76838568875, 'PEP': 336654.4725768124, 'MU': 174487.573483481, 'AMAT': 186813.27858492115, 'META': 104224.90696909695}"
"['LRCX', 'MRNA', 'NFLX', 'META', 'CMCSA', 'MRVL', 'ORLY', 'AMD', 'SBUX', 'MU']",5,"(2018, 7, 12)","(2019, 4, 8)",270,1000000,0.5,0.95,,,,,,,,,,,,,,
"['VRTX', 'MRVL', 'AAPL', 'ASML', 'ROST', 'ADP', 'ORLY', 'MU', 'ADBE', 'NVDA']",5,"(2019, 2, 6)","(2020, 1, 1)",329,1000000,0.5,0.95,"([0.0069983398173174, 0.6357647252565805, 0.20200964208226835, 0.14528484930052193, 0.009942443543311901],)","({'MRVL': 6998.3398173174, 'AAPL': 635764.7252565805, 'ASML': 202009.64208226834, 'ORLY': 145284.84930052192, 'NVDA': 9942.443543311902},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'MRVL': 197819.76838568875, 'AAPL': 336654.4725768124, 'ASML': 174487.573483481, 'ORLY': 186813.27858492115, 'NVDA': 104224.90696909695}","['MRVL', 'AAPL', 'ASML', 'ORLY', 'NVDA']","([0.0069983398173174, 0.6357647252565805, 0.20200964208226835, 0.14528484930052193, 0.009942443543311901],)","({'MRVL': 6998.3398173174, 'AAPL': 635764.7252565805, 'ASML': 202009.64208226834, 'ORLY': 145284.84930052192, 'NVDA': 9942.443543311902},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'MRVL': 197819.76838568875, 'AAPL': 336654.4725768124, 'ASML': 174487.573483481, 'ORLY': 186813.27858492115, 'NVDA': 104224.90696909695}","['MRVL', 'AAPL', 'ASML', 'ADBE', 'NVDA']","([0.0069983398173174, 0.6357647252565805, 0.20200964208226835, 0.14528484930052193, 0.009942443543311901],)","({'MRVL': 6998.3398173174, 'AAPL': 635764.7252565805, 'ASML': 202009.64208226834, 'ORLY': 145284.84930052192, 'NVDA': 9942.443543311902},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'MRVL': 197819.76838568875, 'AAPL': 336654.4725768124, 'ASML': 174487.573483481, 'ADBE': 186813.27858492115, 'NVDA': 104224.90696909695}"
"['ADI', 'AMGN', 'MRNA', 'NFLX', 'KLAC', 'SBUX', 'ORLY', 'REGN', 'TXN', 'QCOM']",5,"(2018, 4, 26)","(2020, 1, 1)",615,1000000,0.5,0.95,,,,,,,,,,,,,,
"['ILMN', 'AAPL', 'AMAT', 'MRNA', 'META', 'AMD', 'ADP', 'ASML', 'GILD', 'INTU']",5,"(2019, 12, 14)","(2020, 1, 1)",18,1000000,0.5,0.95,"([0.5671263556213203, 0.17157338591244903, 0.013197157517284133, 0.1546667169490621, 0.09343638399988444],)","({'AAPL': 567126.3556213203, 'AMAT': 171573.38591244904, 'MRNA': 13197.157517284133, 'META': 154666.7169490621, 'AMD': 93436.38399988443},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'AMAT': 336654.4725768124, 'MRNA': 174487.573483481, 'META': 186813.27858492115, 'AMD': 104224.90696909695}","['AAPL', 'AMAT', 'MRNA', 'META', 'AMD']","([0.5671263556213203, 0.17157338591244903, 0.013197157517284133, 0.1546667169490621, 0.09343638399988444],)","({'AAPL': 567126.3556213203, 'AMAT': 171573.38591244904, 'MRNA': 13197.157517284133, 'META': 154666.7169490621, 'AMD': 93436.38399988443},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'AMAT': 336654.4725768124, 'MRNA': 174487.573483481, 'META': 186813.27858492115, 'AMD': 104224.90696909695}","['AAPL', 'AMAT', 'MRNA', 'AMD', 'ADP']","([0.6490774329974857, 0.13591023079597422, 0.08774943980520658, 0.12357655205042803, 0.0036863443509054556],)","({'AAPL': 649077.4329974856, 'MRNA': 135910.23079597423, 'AMD': 87749.43980520658, 'ADP': 123576.55205042803, 'INTU': 3686.3443509054555},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'AMAT': 336654.4725768124, 'MRNA': 174487.573483481, 'AMD': 186813.27858492115, 'ADP': 104224.90696909695}"
"['ORLY', 'AAPL', 'NFLX', 'AMZN', 'ADI', 'ILMN', 'MRNA', 'PYPL', 'AVGO', 'ROST']",5,"(2019, 10, 28)","(2020, 1, 1)",65,1000000,0.5,0.95,"([0.6490774329974857, 0.13591023079597422, 0.08774943980520658, 0.12357655205042803, 0.0036863443509054556],)","({'AAPL': 649077.4329974856, 'NFLX': 135910.23079597423, 'ADI': 87749.43980520658, 'MRNA': 123576.55205042803, 'AVGO': 3686.3443509054555},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'NFLX': 336654.4725768124, 'ADI': 174487.573483481, 'MRNA': 186813.27858492115, 'AVGO': 104224.90696909695}","['AAPL', 'NFLX', 'ADI', 'MRNA', 'AVGO']","([0.6490774329974857, 0.13591023079597422, 0.08774943980520658, 0.12357655205042803, 0.0036863443509054556],)","({'AAPL': 649077.4329974856, 'NFLX': 135910.23079597423, 'ADI': 87749.43980520658, 'MRNA': 123576.55205042803, 'AVGO': 3686.3443509054555},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'NFLX': 336654.4725768124, 'ADI': 174487.573483481, 'MRNA': 186813.27858492115, 'AVGO': 104224.90696909695}","['AAPL', 'NFLX', 'ADI', 'MRNA', 'AVGO']","([0.4860632199211601, 0.1843824005278922, 0.19645206441829474, 0.09128420891226757, 0.04181810622038541],)","({'AAPL': 486063.2199211601, 'NFLX': 184382.4005278922, 'ILMN': 196452.06441829473, 'MRNA': 91284.20891226757, 'AVGO': 41818.10622038541},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'NFLX': 336654.4725768124, 'ADI': 174487.573483481, 'MRNA': 186813.27858492115, 'AVGO': 104224.90696909695}"
"['ADI', 'CHTR', 'MRVL', 'ORLY', 'ASML', 'MRNA', 'ISRG', 'LRCX', 'ADP', 'KLAC']",5,"(2019, 8, 30)","(2020, 1, 1)",124,1000000,0.5,0.95,"([0.41283170934334834, 0.4525444961303238, 0.059759752241068984, 0.07040795126849814, 0.004456091016760852],)","({'CHTR': 412831.70934334834, 'ASML': 452544.49613032385, 'MRNA': 59759.752241068985, 'LRCX': 70407.95126849813, 'KLAC': 4456.091016760852},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'CHTR': 197819.76838568875, 'ASML': 336654.4725768124, 'MRNA': 174487.573483481, 'LRCX': 186813.27858492115, 'KLAC': 104224.90696909695}","['CHTR', 'ASML', 'MRNA', 'LRCX', 'KLAC']","([0.41283170934334834, 0.4525444961303238, 0.059759752241068984, 0.07040795126849814, 0.004456091016760852],)","({'CHTR': 412831.70934334834, 'ASML': 452544.49613032385, 'MRNA': 59759.752241068985, 'LRCX': 70407.95126849813, 'KLAC': 4456.091016760852},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'ASML': 197819.76838568875, 'MRNA': 336654.4725768124, 'ISRG': 174487.573483481, 'LRCX': 186813.27858492115, 'KLAC': 104224.90696909695}","['ASML', 'MRNA', 'ISRG', 'LRCX', 'KLAC']","([0.4240752355117, 0.19160471928940923, 0.10642596536506768, 0.25279154826861033, 0.025102531565212707],)","({'CHTR': 424075.2355117, 'ORLY': 191604.71928940923, 'MRNA': 106425.96536506768, 'LRCX': 252791.54826861032, 'KLAC': 25102.531565212706},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'ASML': 197819.76838568875, 'MRNA': 336654.4725768124, 'ISRG': 174487.573483481, 'LRCX': 186813.27858492115, 'KLAC': 104224.90696909695}"
