Selected Stocks By User,How many Stocks to select?,Start Date,End Date,Duration,Portfolio Value,Risk Factor,Confidence Level,Optimal weigths by CVAR for Numpy,Amount to Invest in each Stock by CVAR for Numpy,Optimal weigths by MVO for Numpy,Amount to Invest in each Stock by MVO for Numpy,Optimal Stocks Selected by Numpy,Optimal weigths by CVAR for QAOA,Amount to Invest in each Stock by CVAR for QAOA,Optimal weigths by MVO for QAOA,Amount to Invest in each Stock by MVO for QAOA,Optimal Stocks Selected by QAOA,Optimal weigths by CVAR for Sampling VQE,Amount to Invest in each Stock by CVAR for Sampling VQE,Optimal weigths by MVO for Sampling VQE,Amount to Invest in each Stock by MVO for Sampling VQE
"['KLAC', 'REGN', 'MRVL', 'ILMN', 'GILD', 'MU', 'ISRG', 'DXCM', 'ROST', 'ORLY']",5,"(2019, 1, 1)","(2020, 2, 1)",396,1000000,0.5,0.95,"([0.362843264684744, 0.008078390678792706, 0.015218665602980085, 0.20865759359071556, 0.4052020854427677],)","({'KLAC': 362843.264684744, 'MRVL': 8078.390678792705, 'MU': 15218.665602980085, 'DXCM': 208657.59359071555, 'ROST': 405202.0854427677},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'MRVL': 336654.4725768124, 'MU': 174487.573483481, 'DXCM': 186813.27858492115, 'ROST': 104224.90696909695}","['KLAC', 'MRVL', 'MU', 'DXCM', 'ROST']","([0.362843264684744, 0.008078390678792706, 0.015218665602980085, 0.20865759359071556, 0.4052020854427677],)","({'KLAC': 362843.264684744, 'MRVL': 8078.390678792705, 'MU': 15218.665602980085, 'DXCM': 208657.59359071555, 'ROST': 405202.0854427677},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'MRVL': 336654.4725768124, 'MU': 174487.573483481, 'DXCM': 186813.27858492115, 'ROST': 104224.90696909695}","['KLAC', 'GILD', 'MU', 'DXCM', 'ROST']","([0.362843264684744, 0.008078390678792706, 0.015218665602980085, 0.20865759359071556, 0.4052020854427677],)","({'KLAC': 362843.264684744, 'MU': 8078.390678792705, 'ISRG': 15218.665602980085, 'DXCM': 208657.59359071555, 'ROST': 405202.0854427677},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'GILD': 336654.4725768124, 'MU': 174487.573483481, 'DXCM': 186813.27858492115, 'ROST': 104224.90696909695}"
"['KLAC', 'REGN', 'MRVL', 'ILMN', 'GILD', 'MU', 'ISRG', 'DXCM', 'ROST', 'ORLY']",5,"(2019, 1, 1)","(2020, 3, 1)",425,1000000,0.5,0.95,"([0.41354173837872754, 0.014309714049143793, 4.790756513997319e-06, 0.3868738777923083, 0.18526987902330644],)","({'KLAC': 413541.7383787275, 'REGN': 14309.714049143793, 'MU': 4.7907565139973185, 'DXCM': 386873.8777923083, 'ROST': 185269.87902330645},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'MU': 174487.573483481, 'DXCM': 186813.27858492115, 'ROST': 104224.90696909695}","['KLAC', 'REGN', 'MU', 'DXCM', 'ROST']","([0.41354173837872754, 0.014309714049143793, 4.790756513997319e-06, 0.3868738777923083, 0.18526987902330644],)","({'KLAC': 413541.7383787275, 'REGN': 14309.714049143793, 'MU': 4.7907565139973185, 'DXCM': 386873.8777923083, 'ROST': 185269.87902330645},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'MU': 174487.573483481, 'DXCM': 186813.27858492115, 'ROST': 104224.90696909695}","['KLAC', 'GILD', 'MU', 'DXCM', 'ORLY']","([0.41354173837872754, 0.014309714049143793, 4.790756513997319e-06, 0.3868738777923083, 0.18526987902330644],)","({'KLAC': 413541.7383787275, 'REGN': 14309.714049143793, 'MU': 4.7907565139973185, 'DXCM': 386873.8777923083, 'ROST': 185269.87902330645},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'GILD': 336654.4725768124, 'MU': 174487.573483481, 'DXCM': 186813.27858492115, 'ORLY': 104224.90696909695}"
"['KLAC', 'REGN', 'MRVL', 'ILMN', 'GILD', 'MU', 'ISRG', 'DXCM', 'ROST', 'ORLY']",5,"(2019, 1, 1)","(2020, 4, 1)",456,1000000,0.5,0.95,"([0.1496012606142526, 0.041569902314023466, 0.007777283885763738, 0.2655050226967187, 0.5355465304892415],)","({'KLAC': 149601.26061425262, 'REGN': 41569.902314023464, 'MRVL': 7777.283885763738, 'GILD': 265505.0226967187, 'DXCM': 535546.5304892415},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'MRVL': 174487.573483481, 'GILD': 186813.27858492115, 'DXCM': 104224.90696909695}","['KLAC', 'REGN', 'MRVL', 'GILD', 'DXCM']","([0.1496012606142526, 0.041569902314023466, 0.007777283885763738, 0.2655050226967187, 0.5355465304892415],)","({'KLAC': 149601.26061425262, 'REGN': 41569.902314023464, 'MRVL': 7777.283885763738, 'GILD': 265505.0226967187, 'DXCM': 535546.5304892415},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'MRVL': 174487.573483481, 'GILD': 186813.27858492115, 'DXCM': 104224.90696909695}","['KLAC', 'REGN', 'MRVL', 'GILD', 'DXCM']","([0.20021889279429855, 0.13846328624866255, 0.05372526987854228, 0.6015335978061613, 0.0060589532723353485],)","({'KLAC': 200218.89279429856, 'REGN': 138463.28624866257, 'GILD': 53725.269878542276, 'DXCM': 601533.5978061614, 'ROST': 6058.953272335349},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'MRVL': 174487.573483481, 'GILD': 186813.27858492115, 'DXCM': 104224.90696909695}"
"['KLAC', 'REGN', 'MRVL', 'ILMN', 'GILD', 'MU', 'ISRG', 'DXCM', 'ROST', 'ORLY']",5,"(2019, 1, 1)","(2020, 5, 1)",486,1000000,0.5,0.95,"([0.1496012606142526, 0.041569902314023466, 0.007777283885763738, 0.2655050226967187, 0.5355465304892415],)","({'KLAC': 149601.26061425262, 'REGN': 41569.902314023464, 'MRVL': 7777.283885763738, 'GILD': 265505.0226967187, 'DXCM': 535546.5304892415},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'MRVL': 174487.573483481, 'GILD': 186813.27858492115, 'DXCM': 104224.90696909695}","['KLAC', 'REGN', 'MRVL', 'GILD', 'DXCM']","([0.1496012606142526, 0.041569902314023466, 0.007777283885763738, 0.2655050226967187, 0.5355465304892415],)","({'KLAC': 149601.26061425262, 'REGN': 41569.902314023464, 'MRVL': 7777.283885763738, 'GILD': 265505.0226967187, 'DXCM': 535546.5304892415},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'MRVL': 174487.573483481, 'GILD': 186813.27858492115, 'DXCM': 104224.90696909695}","['REGN', 'ILMN', 'GILD', 'MU', 'DXCM']","([0.10916297418453856, 0.1774325129825811, 0.12801846519877355, 0.5695432420903143, 0.01584280554379249],)","({'KLAC': 109162.97418453856, 'REGN': 177432.51298258107, 'GILD': 128018.46519877356, 'DXCM': 569543.2420903143, 'ROST': 15842.805543792492},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'REGN': 197819.76838568875, 'ILMN': 336654.4725768124, 'GILD': 174487.573483481, 'MU': 186813.27858492115, 'DXCM': 104224.90696909695}"
"['KLAC', 'REGN', 'MRVL', 'ILMN', 'GILD', 'MU', 'ISRG', 'DXCM', 'ROST', 'ORLY']",5,"(2019, 1, 1)","(2020, 6, 1)",517,1000000,0.5,0.95,"([0.07074503197135194, 0.2725949196737733, 0.15299514529677707, 0.019001727823957888, 0.4846631752341397],)","({'KLAC': 70745.03197135194, 'REGN': 272594.9196737733, 'MRVL': 152995.14529677707, 'GILD': 19001.727823957888, 'DXCM': 484663.1752341397},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'MRVL': 174487.573483481, 'GILD': 186813.27858492115, 'DXCM': 104224.90696909695}","['KLAC', 'REGN', 'MRVL', 'GILD', 'DXCM']","([0.07074503197135194, 0.2725949196737733, 0.15299514529677707, 0.019001727823957888, 0.4846631752341397],)","({'KLAC': 70745.03197135194, 'REGN': 272594.9196737733, 'MRVL': 152995.14529677707, 'GILD': 19001.727823957888, 'DXCM': 484663.1752341397},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'MRVL': 174487.573483481, 'GILD': 186813.27858492115, 'DXCM': 104224.90696909695}","['REGN', 'MRVL', 'GILD', 'DXCM', 'ORLY']","([0.06998955034371401, 0.2916109233625385, 0.11881545867073, 0.5191852582594345, 0.0003988093635829435],)","({'KLAC': 69989.55034371401, 'REGN': 291610.9233625385, 'MRVL': 118815.45867073, 'DXCM': 519185.2582594345, 'ROST': 398.8093635829435},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'REGN': 197819.76838568875, 'MRVL': 336654.4725768124, 'GILD': 174487.573483481, 'DXCM': 186813.27858492115, 'ORLY': 104224.90696909695}"
"['KLAC', 'REGN', 'MRVL', 'ILMN', 'GILD', 'MU', 'ISRG', 'DXCM', 'ROST', 'ORLY']",5,"(2019, 1, 1)","(2020, 7, 1)",547,1000000,0.5,0.95,"([0.12097858733169495, 0.1777403314411445, 0.13532064211520314, 0.02863200432891773, 0.5373284347830396],)","({'KLAC': 120978.58733169494, 'REGN': 177740.33144114452, 'MRVL': 135320.64211520314, 'GILD': 28632.00432891773, 'DXCM': 537328.4347830396},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'MRVL': 174487.573483481, 'GILD': 186813.27858492115, 'DXCM': 104224.90696909695}","['KLAC', 'REGN', 'MRVL', 'GILD', 'DXCM']","([0.12097858733169495, 0.1777403314411445, 0.13532064211520314, 0.02863200432891773, 0.5373284347830396],)","({'KLAC': 120978.58733169494, 'REGN': 177740.33144114452, 'MRVL': 135320.64211520314, 'GILD': 28632.00432891773, 'DXCM': 537328.4347830396},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'MRVL': 174487.573483481, 'GILD': 186813.27858492115, 'DXCM': 104224.90696909695}","['KLAC', 'REGN', 'MRVL', 'DXCM', 'ROST']","([0.06998955034371401, 0.2916109233625385, 0.11881545867073, 0.5191852582594345, 0.0003988093635829435],)","({'KLAC': 69989.55034371401, 'REGN': 291610.9233625385, 'MRVL': 118815.45867073, 'DXCM': 519185.2582594345, 'ORLY': 398.8093635829435},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'MRVL': 174487.573483481, 'DXCM': 186813.27858492115, 'ROST': 104224.90696909695}"
"['KLAC', 'REGN', 'MRVL', 'ILMN', 'GILD', 'MU', 'ISRG', 'DXCM', 'ROST', 'ORLY']",5,"(2019, 1, 1)","(2020, 8, 1)",578,1000000,0.5,0.95,"([0.10916297418453856, 0.1774325129825811, 0.12801846519877355, 0.5695432420903143, 0.01584280554379249],)","({'KLAC': 109162.97418453856, 'REGN': 177432.51298258107, 'MRVL': 128018.46519877356, 'DXCM': 569543.2420903143, 'ORLY': 15842.805543792492},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'MRVL': 174487.573483481, 'DXCM': 186813.27858492115, 'ORLY': 104224.90696909695}","['KLAC', 'REGN', 'MRVL', 'DXCM', 'ORLY']","([0.10916297418453856, 0.1774325129825811, 0.12801846519877355, 0.5695432420903143, 0.01584280554379249],)","({'KLAC': 109162.97418453856, 'REGN': 177432.51298258107, 'MRVL': 128018.46519877356, 'DXCM': 569543.2420903143, 'ORLY': 15842.805543792492},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'GILD': 174487.573483481, 'DXCM': 186813.27858492115, 'ORLY': 104224.90696909695}","['KLAC', 'REGN', 'MRVL', 'ISRG', 'DXCM']","([0.1620429354234828, 0.1206749974420995, 0.1519493744693472, 0.006480046066308916, 0.5588526465987615],)","({'KLAC': 162042.9354234828, 'REGN': 120674.9974420995, 'MRVL': 151949.3744693472, 'ISRG': 6480.046066308916, 'DXCM': 558852.6465987616},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'MRVL': 174487.573483481, 'ISRG': 186813.27858492115, 'DXCM': 104224.90696909695}"
"['KLAC', 'REGN', 'MRVL', 'ILMN', 'GILD', 'MU', 'ISRG', 'DXCM', 'ROST', 'ORLY']",5,"(2019, 1, 1)","(2020, 9, 1)",609,1000000,0.5,0.95,"([0.13773256008825943, 0.20051190349804168, 0.20811926063949088, 0.44601788339400494, 0.007618392380202883],)","({'KLAC': 137732.56008825943, 'REGN': 200511.90349804168, 'MRVL': 208119.26063949088, 'DXCM': 446017.88339400495, 'ORLY': 7618.392380202883},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'MRVL': 174487.573483481, 'DXCM': 186813.27858492115, 'ORLY': 104224.90696909695}","['KLAC', 'REGN', 'MRVL', 'DXCM', 'ORLY']","([0.13773256008825943, 0.20051190349804168, 0.20811926063949088, 0.44601788339400494, 0.007618392380202883],)","({'KLAC': 137732.56008825943, 'REGN': 200511.90349804168, 'MRVL': 208119.26063949088, 'DXCM': 446017.88339400495, 'ORLY': 7618.392380202883},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'MRVL': 174487.573483481, 'DXCM': 186813.27858492115, 'ORLY': 104224.90696909695}","['REGN', 'MRVL', 'ILMN', 'DXCM', 'ORLY']","([0.08128899464864944, 0.3452424386047236, 0.0689892061671689, 0.00030028285572440385, 0.5041790777237337],)","({'KLAC': 81288.99464864944, 'MRVL': 345242.4386047236, 'GILD': 68989.2061671689, 'ISRG': 300.2828557244039, 'DXCM': 504179.07772373373},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'REGN': 197819.76838568875, 'MRVL': 336654.4725768124, 'ILMN': 174487.573483481, 'DXCM': 186813.27858492115, 'ORLY': 104224.90696909695}"
"['KLAC', 'REGN', 'MRVL', 'ILMN', 'GILD', 'MU', 'ISRG', 'DXCM', 'ROST', 'ORLY']",5,"(2019, 1, 1)","(2020, 10, 1)",639,1000000,0.5,0.95,"([0.10290672894329735, 0.031179798127896466, 0.3474677350727789, 0.5054458840634771, 0.012999853792550128],)","({'KLAC': 102906.72894329735, 'REGN': 31179.798127896465, 'MRVL': 347467.7350727789, 'DXCM': 505445.8840634771, 'ORLY': 12999.853792550128},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'MRVL': 174487.573483481, 'DXCM': 186813.27858492115, 'ORLY': 104224.90696909695}","['KLAC', 'REGN', 'MRVL', 'DXCM', 'ORLY']","([0.10290672894329735, 0.031179798127896466, 0.3474677350727789, 0.5054458840634771, 0.012999853792550128],)","({'KLAC': 102906.72894329735, 'REGN': 31179.798127896465, 'MRVL': 347467.7350727789, 'DXCM': 505445.8840634771, 'ORLY': 12999.853792550128},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'MRVL': 174487.573483481, 'DXCM': 186813.27858492115, 'ORLY': 104224.90696909695}","['REGN', 'MRVL', 'ILMN', 'DXCM', 'ORLY']","([0.08128899464864944, 0.3452424386047236, 0.0689892061671689, 0.00030028285572440385, 0.5041790777237337],)","({'KLAC': 81288.99464864944, 'MRVL': 345242.4386047236, 'GILD': 68989.2061671689, 'ISRG': 300.2828557244039, 'DXCM': 504179.07772373373},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'REGN': 197819.76838568875, 'MRVL': 336654.4725768124, 'ILMN': 174487.573483481, 'DXCM': 186813.27858492115, 'ORLY': 104224.90696909695}"
"['KLAC', 'REGN', 'MRVL', 'ILMN', 'GILD', 'MU', 'ISRG', 'DXCM', 'ROST', 'ORLY']",5,"(2019, 1, 1)","(2020, 11, 1)",670,1000000,0.5,0.95,"([0.1947877056913781, 0.013089772330111389, 0.36862879873763893, 0.4229043046618316, 0.0005894185790399182],)","({'KLAC': 194787.7056913781, 'REGN': 13089.77233011139, 'MRVL': 368628.7987376389, 'DXCM': 422904.3046618316, 'ORLY': 589.4185790399182},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'MRVL': 174487.573483481, 'DXCM': 186813.27858492115, 'ORLY': 104224.90696909695}","['KLAC', 'REGN', 'MRVL', 'DXCM', 'ORLY']","([0.1947877056913781, 0.013089772330111389, 0.36862879873763893, 0.4229043046618316, 0.0005894185790399182],)","({'KLAC': 194787.7056913781, 'REGN': 13089.77233011139, 'MRVL': 368628.7987376389, 'DXCM': 422904.3046618316, 'ORLY': 589.4185790399182},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'MRVL': 174487.573483481, 'DXCM': 186813.27858492115, 'ORLY': 104224.90696909695}","['KLAC', 'MRVL', 'GILD', 'ISRG', 'DXCM']","([0.1947877056913781, 0.013089772330111389, 0.36862879873763893, 0.4229043046618316, 0.0005894185790399182],)","({'KLAC': 194787.7056913781, 'REGN': 13089.77233011139, 'MRVL': 368628.7987376389, 'DXCM': 422904.3046618316, 'ROST': 589.4185790399182},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'MRVL': 336654.4725768124, 'GILD': 174487.573483481, 'ISRG': 186813.27858492115, 'DXCM': 104224.90696909695}"
