Selected Stocks By User,How many Stocks to select?,Start Date,End Date,Duration,Portfolio Value,Risk Factor,Confidence Level,Optimal weigths by CVAR for Numpy,Amount to Invest in each Stock by CVAR for Numpy,Optimal weigths by MVO for Numpy,Amount to Invest in each Stock by MVO for Numpy,Optimal Stocks Selected by Numpy,Optimal weigths by CVAR for QAOA,Amount to Invest in each Stock by CVAR for QAOA,Optimal weigths by MVO for QAOA,Amount to Invest in each Stock by MVO for QAOA,Optimal Stocks Selected by QAOA,Optimal weigths by CVAR for Sampling VQE,Amount to Invest in each Stock by CVAR for Sampling VQE,Optimal weigths by MVO for Sampling VQE,Amount to Invest in each Stock by MVO for Sampling VQE
"['AAPL', 'MSFT', 'GOOG', 'AMZN', 'NVDA', 'META', 'TSLA', 'AVGO', 'ASML', 'COST']",5,"(2019, 1, 1)","(2021, 2, 1)",762,1000000,0.5,0.95,"([0.2452493448858806, 0.011275634280902188, 0.27860619456077085, 0.19775436584355138, 0.2671144604288949],)","({'AAPL': 245249.3448858806, 'NVDA': 11275.634280902188, 'TSLA': 278606.1945607709, 'ASML': 197754.36584355138, 'COST': 267114.4604288949},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'NVDA': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['AAPL', 'NVDA', 'TSLA', 'ASML', 'COST']","([0.2452493448858806, 0.011275634280902188, 0.27860619456077085, 0.19775436584355138, 0.2671144604288949],)","({'AAPL': 245249.3448858806, 'NVDA': 11275.634280902188, 'TSLA': 278606.1945607709, 'ASML': 197754.36584355138, 'COST': 267114.4604288949},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'AMZN': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['AAPL', 'MSFT', 'NVDA', 'TSLA', 'ASML']","([0.2452493448858806, 0.011275634280902188, 0.27860619456077085, 0.19775436584355138, 0.2671144604288949],)","({'AAPL': 245249.3448858806, 'NVDA': 11275.634280902188, 'TSLA': 278606.1945607709, 'ASML': 197754.36584355138, 'COST': 267114.4604288949},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'MSFT': 336654.4725768124, 'NVDA': 174487.573483481, 'TSLA': 186813.27858492115, 'ASML': 104224.90696909695}"
"['AAPL', 'MSFT', 'GOOG', 'AMZN', 'NVDA', 'META', 'TSLA', 'AVGO', 'ASML', 'COST']",5,"(2019, 1, 1)","(2021, 3, 1)",790,1000000,0.5,0.95,"([0.2483076129332444, 0.009353664578029301, 0.2319847315192912, 0.3405066134110325, 0.16984737755840265],)","({'AAPL': 248307.6129332444, 'NVDA': 9353.6645780293, 'TSLA': 231984.7315192912, 'ASML': 340506.6134110325, 'COST': 169847.37755840266},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'NVDA': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['AAPL', 'NVDA', 'TSLA', 'ASML', 'COST']","([0.2483076129332444, 0.009353664578029301, 0.2319847315192912, 0.3405066134110325, 0.16984737755840265],)","({'AAPL': 248307.6129332444, 'NVDA': 9353.6645780293, 'TSLA': 231984.7315192912, 'ASML': 340506.6134110325, 'COST': 169847.37755840266},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AMZN': 197819.76838568875, 'NVDA': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['AAPL', 'MSFT', 'NVDA', 'TSLA', 'ASML']","([0.2483076129332444, 0.009353664578029301, 0.2319847315192912, 0.3405066134110325, 0.16984737755840265],)","({'AAPL': 248307.6129332444, 'NVDA': 9353.6645780293, 'TSLA': 231984.7315192912, 'ASML': 340506.6134110325, 'COST': 169847.37755840266},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'MSFT': 336654.4725768124, 'NVDA': 174487.573483481, 'TSLA': 186813.27858492115, 'ASML': 104224.90696909695}"
"['AAPL', 'MSFT', 'GOOG', 'AMZN', 'NVDA', 'META', 'TSLA', 'AVGO', 'ASML', 'COST']",5,"(2019, 1, 1)","(2021, 4, 1)",821,1000000,0.5,0.95,"([0.10658306079766232, 0.0020742051294948337, 0.22068547473883562, 0.32290707532166063, 0.3477501840123467],)","({'AAPL': 106583.06079766231, 'NVDA': 2074.2051294948337, 'TSLA': 220685.47473883562, 'ASML': 322907.0753216606, 'COST': 347750.18401234667},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'NVDA': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['AAPL', 'NVDA', 'TSLA', 'ASML', 'COST']","([0.10658306079766232, 0.0020742051294948337, 0.22068547473883562, 0.32290707532166063, 0.3477501840123467],)","({'AAPL': 106583.06079766231, 'NVDA': 2074.2051294948337, 'TSLA': 220685.47473883562, 'ASML': 322907.0753216606, 'COST': 347750.18401234667},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'NVDA': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['AAPL', 'MSFT', 'TSLA', 'ASML', 'COST']","([0.10658306079766232, 0.0020742051294948337, 0.22068547473883562, 0.32290707532166063, 0.3477501840123467],)","({'AAPL': 106583.06079766231, 'GOOG': 2074.2051294948337, 'TSLA': 220685.47473883562, 'ASML': 322907.0753216606, 'COST': 347750.18401234667},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'MSFT': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}"
"['AAPL', 'MSFT', 'GOOG', 'AMZN', 'NVDA', 'META', 'TSLA', 'AVGO', 'ASML', 'COST']",5,"(2019, 1, 1)","(2021, 5, 1)",851,1000000,0.5,0.95,"([0.10658306079766232, 0.0020742051294948337, 0.22068547473883562, 0.32290707532166063, 0.3477501840123467],)","({'AAPL': 106583.06079766231, 'NVDA': 2074.2051294948337, 'TSLA': 220685.47473883562, 'ASML': 322907.0753216606, 'COST': 347750.18401234667},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'NVDA': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['AAPL', 'NVDA', 'TSLA', 'ASML', 'COST']","([0.10658306079766232, 0.0020742051294948337, 0.22068547473883562, 0.32290707532166063, 0.3477501840123467],)","({'AAPL': 106583.06079766231, 'NVDA': 2074.2051294948337, 'TSLA': 220685.47473883562, 'ASML': 322907.0753216606, 'COST': 347750.18401234667},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'NVDA': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['AAPL', 'GOOG', 'TSLA', 'ASML', 'COST']","([0.3130394993827116, 0.02453755199741568, 0.014470239469483843, 0.2731313769200204, 0.37482133223036856],)","({'AAPL': 313039.4993827116, 'GOOG': 24537.551997415678, 'NVDA': 14470.239469483844, 'TSLA': 273131.3769200204, 'ASML': 374821.33223036857},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'GOOG': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}"
"['AAPL', 'MSFT', 'GOOG', 'AMZN', 'NVDA', 'META', 'TSLA', 'AVGO', 'ASML', 'COST']",5,"(2019, 1, 1)","(2021, 6, 1)",882,1000000,0.5,0.95,"([0.03822858007065602, 0.009867780342971415, 0.17978072788595262, 0.35136577632033267, 0.4207571353800872],)","({'AAPL': 38228.58007065602, 'NVDA': 9867.780342971415, 'TSLA': 179780.72788595263, 'ASML': 351365.77632033266, 'COST': 420757.1353800872},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'NVDA': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['AAPL', 'NVDA', 'TSLA', 'ASML', 'COST']","([0.03822858007065602, 0.009867780342971415, 0.17978072788595262, 0.35136577632033267, 0.4207571353800872],)","({'AAPL': 38228.58007065602, 'NVDA': 9867.780342971415, 'TSLA': 179780.72788595263, 'ASML': 351365.77632033266, 'COST': 420757.1353800872},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'NVDA': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['NVDA', 'META', 'TSLA', 'ASML', 'COST']","([0.03822858007065602, 0.009867780342971415, 0.17978072788595262, 0.35136577632033267, 0.4207571353800872],)","({'GOOG': 38228.58007065602, 'NVDA': 9867.780342971415, 'TSLA': 179780.72788595263, 'ASML': 351365.77632033266, 'COST': 420757.1353800872},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'NVDA': 197819.76838568875, 'META': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}"
"['AAPL', 'MSFT', 'GOOG', 'AMZN', 'NVDA', 'META', 'TSLA', 'AVGO', 'ASML', 'COST']",5,"(2019, 1, 1)","(2021, 7, 1)",912,1000000,0.5,0.95,"([0.14067665673030996, 0.057876492153402515, 0.1562417137009263, 0.2482093237243359, 0.3969958136910254],)","({'AAPL': 140676.65673030997, 'NVDA': 57876.49215340251, 'TSLA': 156241.71370092628, 'ASML': 248209.3237243359, 'COST': 396995.81369102537},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'NVDA': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['AAPL', 'NVDA', 'TSLA', 'ASML', 'COST']","([0.14067665673030996, 0.057876492153402515, 0.1562417137009263, 0.2482093237243359, 0.3969958136910254],)","({'AAPL': 140676.65673030997, 'NVDA': 57876.49215340251, 'TSLA': 156241.71370092628, 'ASML': 248209.3237243359, 'COST': 396995.81369102537},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'NVDA': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['GOOG', 'NVDA', 'TSLA', 'ASML', 'COST']","([0.23962197412348096, 0.010962200861861464, 0.17601050343288724, 0.2125014097337318, 0.36090391184803866],)","({'AAPL': 239621.97412348096, 'GOOG': 10962.200861861464, 'NVDA': 176010.50343288723, 'TSLA': 212501.4097337318, 'ASML': 360903.91184803867},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'GOOG': 197819.76838568875, 'NVDA': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}"
"['AAPL', 'MSFT', 'GOOG', 'AMZN', 'NVDA', 'META', 'TSLA', 'AVGO', 'ASML', 'COST']",5,"(2019, 1, 1)","(2021, 8, 1)",943,1000000,0.5,0.95,"([0.12881510981265726, 0.011357234272498339, 0.1404528443104994, 0.3023413071411478, 0.41703350446319715],)","({'AAPL': 128815.10981265726, 'NVDA': 11357.23427249834, 'TSLA': 140452.8443104994, 'ASML': 302341.30714114784, 'COST': 417033.50446319714},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'NVDA': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['AAPL', 'NVDA', 'TSLA', 'ASML', 'COST']","([0.12881510981265726, 0.011357234272498339, 0.1404528443104994, 0.3023413071411478, 0.41703350446319715],)","({'AAPL': 128815.10981265726, 'NVDA': 11357.23427249834, 'TSLA': 140452.8443104994, 'ASML': 302341.30714114784, 'COST': 417033.50446319714},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'NVDA': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['AAPL', 'NVDA', 'TSLA', 'ASML', 'COST']","([0.12881510981265726, 0.011357234272498339, 0.1404528443104994, 0.3023413071411478, 0.41703350446319715],)","({'AAPL': 128815.10981265726, 'NVDA': 11357.23427249834, 'TSLA': 140452.8443104994, 'ASML': 302341.30714114784, 'COST': 417033.50446319714},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'NVDA': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}"
"['AAPL', 'MSFT', 'GOOG', 'AMZN', 'NVDA', 'META', 'TSLA', 'AVGO', 'ASML', 'COST']",5,"(2019, 1, 1)","(2021, 9, 1)",974,1000000,0.5,0.95,"([0.07822936545125725, 0.02252263483217197, 0.13090524821297475, 0.3492926166608816, 0.4190501348427144],)","({'AAPL': 78229.36545125725, 'NVDA': 22522.63483217197, 'TSLA': 130905.24821297475, 'ASML': 349292.6166608816, 'COST': 419050.1348427144},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'NVDA': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['AAPL', 'NVDA', 'TSLA', 'ASML', 'COST']","([0.07822936545125725, 0.02252263483217197, 0.13090524821297475, 0.3492926166608816, 0.4190501348427144],)","({'AAPL': 78229.36545125725, 'NVDA': 22522.63483217197, 'TSLA': 130905.24821297475, 'ASML': 349292.6166608816, 'COST': 419050.1348427144},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'NVDA': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['AAPL', 'NVDA', 'TSLA', 'ASML', 'COST']","([0.24215991130676093, 0.08708396240178673, 0.09766696731809475, 0.18059049418567408, 0.3924986647876835],)","({'AAPL': 242159.9113067609, 'GOOG': 87083.96240178673, 'NVDA': 97666.96731809476, 'TSLA': 180590.4941856741, 'ASML': 392498.6647876835},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'NVDA': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}"
"['AAPL', 'MSFT', 'GOOG', 'AMZN', 'NVDA', 'META', 'TSLA', 'AVGO', 'ASML', 'COST']",5,"(2019, 1, 1)","(2021, 10, 1)",1004,1000000,0.5,0.95,"([0.007157222693838131, 0.02629855736539847, 0.19991917030860196, 0.25012558950499003, 0.5164994601271715],)","({'AAPL': 7157.222693838131, 'NVDA': 26298.55736539847, 'TSLA': 199919.17030860196, 'ASML': 250125.58950499003, 'COST': 516499.46012717154},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'NVDA': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['AAPL', 'NVDA', 'TSLA', 'ASML', 'COST']","([0.007157222693838131, 0.02629855736539847, 0.19991917030860196, 0.25012558950499003, 0.5164994601271715],)","({'AAPL': 7157.222693838131, 'NVDA': 26298.55736539847, 'TSLA': 199919.17030860196, 'ASML': 250125.58950499003, 'COST': 516499.46012717154},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'GOOG': 197819.76838568875, 'NVDA': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['GOOG', 'NVDA', 'TSLA', 'ASML', 'COST']","([0.007157222693838131, 0.02629855736539847, 0.19991917030860196, 0.25012558950499003, 0.5164994601271715],)","({'AAPL': 7157.222693838131, 'NVDA': 26298.55736539847, 'TSLA': 199919.17030860196, 'ASML': 250125.58950499003, 'COST': 516499.46012717154},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'GOOG': 197819.76838568875, 'NVDA': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}"
"['AAPL', 'MSFT', 'GOOG', 'AMZN', 'NVDA', 'META', 'TSLA', 'AVGO', 'ASML', 'COST']",5,"(2019, 1, 1)","(2021, 11, 1)",1035,1000000,0.5,0.95,"([0.007157222693838131, 0.02629855736539847, 0.19991917030860196, 0.25012558950499003, 0.5164994601271715],)","({'AAPL': 7157.222693838131, 'NVDA': 26298.55736539847, 'TSLA': 199919.17030860196, 'ASML': 250125.58950499003, 'COST': 516499.46012717154},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'NVDA': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['AAPL', 'NVDA', 'TSLA', 'ASML', 'COST']","([0.007157222693838131, 0.02629855736539847, 0.19991917030860196, 0.25012558950499003, 0.5164994601271715],)","({'AAPL': 7157.222693838131, 'NVDA': 26298.55736539847, 'TSLA': 199919.17030860196, 'ASML': 250125.58950499003, 'COST': 516499.46012717154},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'GOOG': 197819.76838568875, 'NVDA': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['AAPL', 'NVDA', 'TSLA', 'ASML', 'COST']","([0.14924954846105604, 0.07732523442559394, 0.19182357292749172, 0.2722115490496771, 0.30939009513618126],)","({'AAPL': 149249.54846105602, 'MSFT': 77325.23442559394, 'NVDA': 191823.5729274917, 'TSLA': 272211.5490496771, 'ASML': 309390.0951361813},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'NVDA': 336654.4725768124, 'TSLA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}"
