Selected Stocks By User,How many Stocks to select?,Start Date,End Date,Duration,Portfolio Value,Risk Factor,Confidence Level,Optimal weigths by CVAR for Numpy,Amount to Invest in each Stock by CVAR for Numpy,Optimal weigths by MVO for Numpy,Amount to Invest in each Stock by MVO for Numpy,Optimal Stocks Selected by Numpy,Optimal weigths by CVAR for QAOA,Amount to Invest in each Stock by CVAR for QAOA,Optimal weigths by MVO for QAOA,Amount to Invest in each Stock by MVO for QAOA,Optimal Stocks Selected by QAOA,Optimal weigths by CVAR for Sampling VQE,Amount to Invest in each Stock by CVAR for Sampling VQE,Optimal weigths by MVO for Sampling VQE,Amount to Invest in each Stock by MVO for Sampling VQE
"['KLAC', 'REGN', 'MRVL', 'ILMN', 'GILD', 'MU', 'ISRG', 'DXCM', 'ROST', 'ORLY']",5,"(2019, 1, 1)","(2022, 2, 1)",1127,1000000,0.5,0.95,"([0.2835942193854033, 0.004429382219681324, 0.30105413422891303, 0.29571166678333205, 0.11521059738267037],)","({'KLAC': 283594.2193854033, 'REGN': 4429.382219681324, 'MRVL': 301054.13422891306, 'DXCM': 295711.66678333207, 'ORLY': 115210.59738267037},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'MRVL': 174487.573483481, 'DXCM': 186813.27858492115, 'ORLY': 104224.90696909695}","['KLAC', 'REGN', 'MRVL', 'DXCM', 'ORLY']","([0.2835942193854033, 0.004429382219681324, 0.30105413422891303, 0.29571166678333205, 0.11521059738267037],)","({'KLAC': 283594.2193854033, 'REGN': 4429.382219681324, 'MRVL': 301054.13422891306, 'DXCM': 295711.66678333207, 'ORLY': 115210.59738267037},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'MRVL': 174487.573483481, 'DXCM': 186813.27858492115, 'ORLY': 104224.90696909695}","['KLAC', 'REGN', 'MU', 'DXCM', 'ORLY']","([0.3160240610458354, 0.013053537279318845, 0.3125484098561657, 0.34650226958268837, 0.011871722235991547],)","({'KLAC': 316024.06104583543, 'REGN': 13053.537279318845, 'MRVL': 312548.4098561657, 'DXCM': 346502.26958268834, 'ROST': 11871.722235991547},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'MU': 174487.573483481, 'DXCM': 186813.27858492115, 'ORLY': 104224.90696909695}"
"['KLAC', 'REGN', 'MRVL', 'ILMN', 'GILD', 'MU', 'ISRG', 'DXCM', 'ROST', 'ORLY']",5,"(2019, 1, 1)","(2022, 3, 1)",1155,1000000,0.5,0.95,"([0.22219625861536318, 0.02579511086976237, 0.2919706170382394, 0.2639809858154591, 0.19605702766117591],)","({'KLAC': 222196.2586153632, 'REGN': 25795.110869762368, 'MRVL': 291970.6170382394, 'DXCM': 263980.9858154591, 'ORLY': 196057.0276611759},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'MRVL': 174487.573483481, 'DXCM': 186813.27858492115, 'ORLY': 104224.90696909695}","['KLAC', 'REGN', 'MRVL', 'DXCM', 'ORLY']","([0.22219625861536318, 0.02579511086976237, 0.2919706170382394, 0.2639809858154591, 0.19605702766117591],)","({'KLAC': 222196.2586153632, 'REGN': 25795.110869762368, 'MRVL': 291970.6170382394, 'DXCM': 263980.9858154591, 'ORLY': 196057.0276611759},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'MRVL': 174487.573483481, 'DXCM': 186813.27858492115, 'ORLY': 104224.90696909695}","['KLAC', 'REGN', 'MRVL', 'DXCM', 'ROST']","([0.317985950991067, 0.04049441592384863, 0.3175188830176455, 0.0031956539563139843, 0.3208050961111248],)","({'KLAC': 317985.95099106705, 'REGN': 40494.41592384863, 'MRVL': 317518.8830176455, 'ISRG': 3195.6539563139845, 'DXCM': 320805.0961111248},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'MRVL': 174487.573483481, 'DXCM': 186813.27858492115, 'ROST': 104224.90696909695}"
"['KLAC', 'REGN', 'MRVL', 'ILMN', 'GILD', 'MU', 'ISRG', 'DXCM', 'ROST', 'ORLY']",5,"(2019, 1, 1)","(2022, 4, 1)",1186,1000000,0.5,0.95,"([0.13087054997605818, 0.11233773896114124, 0.25528302921559803, 0.3299865625303699, 0.1715221193168326],)","({'KLAC': 130870.54997605819, 'REGN': 112337.73896114124, 'MRVL': 255283.02921559804, 'DXCM': 329986.5625303699, 'ORLY': 171522.1193168326},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'MRVL': 174487.573483481, 'DXCM': 186813.27858492115, 'ORLY': 104224.90696909695}","['KLAC', 'REGN', 'MRVL', 'DXCM', 'ORLY']","([0.13087054997605818, 0.11233773896114124, 0.25528302921559803, 0.3299865625303699, 0.1715221193168326],)","({'KLAC': 130870.54997605819, 'REGN': 112337.73896114124, 'MRVL': 255283.02921559804, 'DXCM': 329986.5625303699, 'ORLY': 171522.1193168326},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'MRVL': 174487.573483481, 'DXCM': 186813.27858492115, 'ORLY': 104224.90696909695}","['KLAC', 'MRVL', 'GILD', 'DXCM', 'ORLY']","([0.24996314159980865, 0.1493964991574977, 0.33812187293977014, 0.003307557326361833, 0.2592109289765617],)","({'KLAC': 249963.14159980864, 'REGN': 149396.4991574977, 'MRVL': 338121.87293977017, 'ISRG': 3307.557326361833, 'ORLY': 259210.92897656173},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'MRVL': 336654.4725768124, 'GILD': 174487.573483481, 'DXCM': 186813.27858492115, 'ORLY': 104224.90696909695}"
"['KLAC', 'REGN', 'MRVL', 'ILMN', 'GILD', 'MU', 'ISRG', 'DXCM', 'ROST', 'ORLY']",5,"(2019, 1, 1)","(2022, 5, 1)",1216,1000000,0.5,0.95,"([0.22932243437311212, 0.14981071266536264, 0.1953322281918877, 0.32957578642878776, 0.09595883834084978],)","({'KLAC': 229322.4343731121, 'REGN': 149810.71266536263, 'MRVL': 195332.2281918877, 'DXCM': 329575.78642878775, 'ORLY': 95958.83834084979},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'MRVL': 174487.573483481, 'DXCM': 186813.27858492115, 'ORLY': 104224.90696909695}","['KLAC', 'REGN', 'MRVL', 'DXCM', 'ORLY']","([0.22932243437311212, 0.14981071266536264, 0.1953322281918877, 0.32957578642878776, 0.09595883834084978],)","({'KLAC': 229322.4343731121, 'REGN': 149810.71266536263, 'MRVL': 195332.2281918877, 'DXCM': 329575.78642878775, 'ORLY': 95958.83834084979},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'MRVL': 174487.573483481, 'DXCM': 186813.27858492115, 'ORLY': 104224.90696909695}","['KLAC', 'REGN', 'MRVL', 'MU', 'DXCM']","([0.26670493693349845, 0.1506515087536015, 0.22046908882784796, 0.005132345454121635, 0.3570421200309302],)","({'KLAC': 266704.9369334984, 'REGN': 150651.5087536015, 'MRVL': 220469.08882784797, 'ISRG': 5132.345454121635, 'DXCM': 357042.1200309302},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'MRVL': 174487.573483481, 'MU': 186813.27858492115, 'DXCM': 104224.90696909695}"
"['KLAC', 'REGN', 'MRVL', 'ILMN', 'GILD', 'MU', 'ISRG', 'DXCM', 'ROST', 'ORLY']",5,"(2019, 1, 1)","(2022, 6, 1)",1247,1000000,0.5,0.95,"([0.3551439067586399, 0.15266489707703407, 0.19496195779437867, 0.12769771849380593, 0.1695315198761416],)","({'KLAC': 355143.9067586399, 'REGN': 152664.89707703405, 'MRVL': 194961.95779437866, 'DXCM': 127697.71849380592, 'ORLY': 169531.5198761416},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'MRVL': 174487.573483481, 'DXCM': 186813.27858492115, 'ORLY': 104224.90696909695}","['KLAC', 'REGN', 'MRVL', 'DXCM', 'ORLY']","([0.4250978152667175, 0.24904145067195516, 0.2023543972170763, 0.0028326079525182162, 0.12067372889173279],)","({'KLAC': 425097.8152667175, 'REGN': 249041.45067195516, 'MRVL': 202354.3972170763, 'GILD': 2832.6079525182163, 'ORLY': 120673.7288917328},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'MRVL': 174487.573483481, 'DXCM': 186813.27858492115, 'ORLY': 104224.90696909695}","['KLAC', 'MRVL', 'GILD', 'DXCM', 'ORLY']","([0.19662215179730091, 0.3721519781748097, 0.006381606467159494, 0.13860119299000248, 0.2862430705707274],)","({'REGN': 196622.1517973009, 'MRVL': 372151.9781748097, 'ISRG': 6381.606467159494, 'DXCM': 138601.19299000248, 'ORLY': 286243.0705707274},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'MRVL': 336654.4725768124, 'GILD': 174487.573483481, 'DXCM': 186813.27858492115, 'ORLY': 104224.90696909695}"
"['KLAC', 'REGN', 'MRVL', 'ILMN', 'GILD', 'MU', 'ISRG', 'DXCM', 'ROST', 'ORLY']",5,"(2019, 1, 1)","(2022, 7, 1)",1277,1000000,0.5,0.95,"([0.4477465348820319, 0.07881918470345013, 0.05804483337302921, 0.1834326506663953, 0.2319567963750934],)","({'KLAC': 447746.5348820319, 'REGN': 78819.18470345013, 'MRVL': 58044.83337302921, 'DXCM': 183432.6506663953, 'ORLY': 231956.7963750934},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'MRVL': 174487.573483481, 'DXCM': 186813.27858492115, 'ORLY': 104224.90696909695}","['KLAC', 'REGN', 'MRVL', 'DXCM', 'ORLY']","([0.4477465348820319, 0.07881918470345013, 0.05804483337302921, 0.1834326506663953, 0.2319567963750934],)","({'KLAC': 447746.5348820319, 'REGN': 78819.18470345013, 'MRVL': 58044.83337302921, 'DXCM': 183432.6506663953, 'ORLY': 231956.7963750934},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'MRVL': 174487.573483481, 'DXCM': 186813.27858492115, 'ORLY': 104224.90696909695}","['KLAC', 'REGN', 'MRVL', 'ISRG', 'DXCM']","([0.533624310118874, 0.1639207375040304, 0.0352385060383282, 0.0026289917446636396, 0.2645874545941038],)","({'KLAC': 533624.3101188741, 'REGN': 163920.7375040304, 'MRVL': 35238.506038328196, 'ROST': 2628.9917446636396, 'ORLY': 264587.4545941038},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'MRVL': 174487.573483481, 'ISRG': 186813.27858492115, 'DXCM': 104224.90696909695}"
"['KLAC', 'REGN', 'MRVL', 'ILMN', 'GILD', 'MU', 'ISRG', 'DXCM', 'ROST', 'ORLY']",5,"(2019, 1, 1)","(2022, 8, 1)",1308,1000000,0.5,0.95,"([0.4925203942175077, 0.011342312108567862, 0.02786113692220975, 0.15663436359562002, 0.3116417931560946],)","({'KLAC': 492520.3942175077, 'REGN': 11342.312108567861, 'MRVL': 27861.136922209753, 'DXCM': 156634.36359562003, 'ORLY': 311641.79315609456},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'MRVL': 174487.573483481, 'DXCM': 186813.27858492115, 'ORLY': 104224.90696909695}","['KLAC', 'REGN', 'MRVL', 'DXCM', 'ORLY']","([0.36496515793415224, 0.09932178868103962, 0.007654611168948027, 0.14898473667615075, 0.37907370553970937],)","({'KLAC': 364965.15793415223, 'MRVL': 99321.78868103962, 'GILD': 7654.611168948027, 'DXCM': 148984.73667615076, 'ORLY': 379073.70553970936},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'MRVL': 174487.573483481, 'DXCM': 186813.27858492115, 'ORLY': 104224.90696909695}","['KLAC', 'REGN', 'ISRG', 'DXCM', 'ORLY']","([0.4516625682228192, 0.06412076494075021, 0.0007532677216611685, 0.10451041578994089, 0.3789529833248285],)","({'KLAC': 451662.5682228192, 'MRVL': 64120.76494075021, 'ISRG': 753.2677216611685, 'DXCM': 104510.41578994089, 'ORLY': 378952.9833248285},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'ISRG': 174487.573483481, 'DXCM': 186813.27858492115, 'ORLY': 104224.90696909695}"
"['KLAC', 'REGN', 'MRVL', 'ILMN', 'GILD', 'MU', 'ISRG', 'DXCM', 'ROST', 'ORLY']",5,"(2019, 1, 1)","(2022, 9, 1)",1339,1000000,0.5,0.95,"([0.4294487454003558, 0.021414137963516752, 0.014688147450732261, 0.16557948228979755, 0.3688694868955976],)","({'KLAC': 429448.74540035584, 'REGN': 21414.13796351675, 'MRVL': 14688.14745073226, 'DXCM': 165579.48228979754, 'ORLY': 368869.4868955976},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'MRVL': 174487.573483481, 'DXCM': 186813.27858492115, 'ORLY': 104224.90696909695}","['KLAC', 'REGN', 'MRVL', 'DXCM', 'ORLY']","([0.4294487454003558, 0.021414137963516752, 0.014688147450732261, 0.16557948228979755, 0.3688694868955976],)","({'KLAC': 429448.74540035584, 'REGN': 21414.13796351675, 'MRVL': 14688.14745073226, 'DXCM': 165579.48228979754, 'ORLY': 368869.4868955976},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'MRVL': 174487.573483481, 'DXCM': 186813.27858492115, 'ORLY': 104224.90696909695}","['KLAC', 'REGN', 'GILD', 'DXCM', 'ROST']","([0.5108013601336041, 0.03252731929883406, 0.005834748805308551, 0.004264184406734092, 0.44657238735551913],)","({'KLAC': 510801.3601336041, 'MRVL': 32527.31929883406, 'GILD': 5834.748805308551, 'ISRG': 4264.184406734092, 'ORLY': 446572.3873555191},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'GILD': 174487.573483481, 'DXCM': 186813.27858492115, 'ROST': 104224.90696909695}"
"['KLAC', 'REGN', 'MRVL', 'ILMN', 'GILD', 'MU', 'ISRG', 'DXCM', 'ROST', 'ORLY']",5,"(2019, 1, 1)","(2022, 10, 1)",1369,1000000,0.5,0.95,"([0.2939767641866513, 0.1787792097494208, 0.0036096024783860855, 0.19138377971295123, 0.3322506438725906],)","({'KLAC': 293976.76418665133, 'REGN': 178779.20974942078, 'GILD': 3609.6024783860853, 'DXCM': 191383.77971295122, 'ORLY': 332250.6438725906},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'GILD': 174487.573483481, 'DXCM': 186813.27858492115, 'ORLY': 104224.90696909695}","['KLAC', 'REGN', 'GILD', 'DXCM', 'ORLY']","([0.2939767641866513, 0.1787792097494208, 0.0036096024783860855, 0.19138377971295123, 0.3322506438725906],)","({'KLAC': 293976.76418665133, 'REGN': 178779.20974942078, 'GILD': 3609.6024783860853, 'DXCM': 191383.77971295122, 'ORLY': 332250.6438725906},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'GILD': 174487.573483481, 'DXCM': 186813.27858492115, 'ORLY': 104224.90696909695}","['KLAC', 'REGN', 'GILD', 'DXCM', 'ORLY']","([0.24361448499200555, 0.24040250078854006, 0.19972815987885265, 0.0008375509239470204, 0.31541730341665475],)","({'KLAC': 243614.48499200554, 'REGN': 240402.50078854006, 'DXCM': 199728.15987885263, 'ROST': 837.5509239470204, 'ORLY': 315417.30341665476},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'GILD': 174487.573483481, 'DXCM': 186813.27858492115, 'ORLY': 104224.90696909695}"
"['KLAC', 'REGN', 'MRVL', 'ILMN', 'GILD', 'MU', 'ISRG', 'DXCM', 'ROST', 'ORLY']",5,"(2019, 1, 1)","(2022, 11, 1)",1400,1000000,0.5,0.95,"([0.15060411099818602, 0.12231331991499578, 0.011759963954704983, 0.25647754364280234, 0.45884506148931087],)","({'KLAC': 150604.11099818602, 'REGN': 122313.31991499578, 'GILD': 11759.963954704983, 'DXCM': 256477.54364280234, 'ORLY': 458845.0614893109},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'GILD': 174487.573483481, 'DXCM': 186813.27858492115, 'ORLY': 104224.90696909695}","['KLAC', 'REGN', 'GILD', 'DXCM', 'ORLY']","([0.15060411099818602, 0.12231331991499578, 0.011759963954704983, 0.25647754364280234, 0.45884506148931087],)","({'KLAC': 150604.11099818602, 'REGN': 122313.31991499578, 'GILD': 11759.963954704983, 'DXCM': 256477.54364280234, 'ORLY': 458845.0614893109},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'GILD': 174487.573483481, 'DXCM': 186813.27858492115, 'ORLY': 104224.90696909695}","['KLAC', 'REGN', 'MU', 'DXCM', 'ORLY']","([0.18410786215348948, 0.05137355305629506, 0.006020329779783902, 0.32637041874250866, 0.43212783626792295],)","({'KLAC': 184107.8621534895, 'GILD': 51373.55305629506, 'ISRG': 6020.329779783902, 'DXCM': 326370.4187425087, 'ORLY': 432127.83626792295},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'MU': 174487.573483481, 'DXCM': 186813.27858492115, 'ORLY': 104224.90696909695}"
