Selected Stocks By User,How many Stocks to select?,Start Date,End Date,Duration,Portfolio Value,Risk Factor,Confidence Level,Optimal weigths by CVAR for Numpy,Amount to Invest in each Stock by CVAR for Numpy,Optimal weigths by MVO for Numpy,Amount to Invest in each Stock by MVO for Numpy,Optimal Stocks Selected by Numpy,Optimal weigths by CVAR for QAOA,Amount to Invest in each Stock by CVAR for QAOA,Optimal weigths by MVO for QAOA,Amount to Invest in each Stock by MVO for QAOA,Optimal Stocks Selected by QAOA,Optimal weigths by CVAR for Sampling VQE,Amount to Invest in each Stock by CVAR for Sampling VQE,Optimal weigths by MVO for Sampling VQE,Amount to Invest in each Stock by MVO for Sampling VQE
"['KLAC', 'REGN', 'MRVL', 'ILMN', 'GILD', 'MU', 'ISRG', 'DXCM', 'ROST', 'ORLY']",5,"(2018, 1, 1)","(2019, 1, 1)",365,1000000,0.5,0.95,"([0.03241593520626761, 0.03275407109438098, 0.4879262588156163, 0.01054216781677954, 0.43636156706695556],)","({'ILMN': 32415.935206267608, 'ISRG': 32754.07109438098, 'DXCM': 487926.2588156163, 'ROST': 10542.16781677954, 'ORLY': 436361.56706695555},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'ILMN': 197819.76838568875, 'ISRG': 336654.4725768124, 'DXCM': 174487.573483481, 'ROST': 186813.27858492115, 'ORLY': 104224.90696909695}","['ILMN', 'ISRG', 'DXCM', 'ROST', 'ORLY']","([0.03241593520626761, 0.03275407109438098, 0.4879262588156163, 0.01054216781677954, 0.43636156706695556],)","({'ILMN': 32415.935206267608, 'ISRG': 32754.07109438098, 'DXCM': 487926.2588156163, 'ROST': 10542.16781677954, 'ORLY': 436361.56706695555},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'ILMN': 197819.76838568875, 'ISRG': 336654.4725768124, 'DXCM': 174487.573483481, 'ROST': 186813.27858492115, 'ORLY': 104224.90696909695}","['GILD', 'ISRG', 'DXCM', 'ROST', 'ORLY']","([0.03241593520626761, 0.03275407109438098, 0.4879262588156163, 0.01054216781677954, 0.43636156706695556],)","({'ILMN': 32415.935206267608, 'ISRG': 32754.07109438098, 'DXCM': 487926.2588156163, 'ROST': 10542.16781677954, 'ORLY': 436361.56706695555},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'GILD': 197819.76838568875, 'ISRG': 336654.4725768124, 'DXCM': 174487.573483481, 'ROST': 186813.27858492115, 'ORLY': 104224.90696909695}"
"['KLAC', 'REGN', 'MRVL', 'ILMN', 'GILD', 'MU', 'ISRG', 'DXCM', 'ROST', 'ORLY']",5,"(2019, 1, 1)","(2019, 2, 1)",31,1000000,0.5,0.95,"([0.07752216893682817, 0.2592339500681657, 0.40109625466782683, 0.0048337295082830686, 0.25731389681889627],)","({'KLAC': 77522.16893682817, 'REGN': 259233.9500681657, 'GILD': 401096.2546678268, 'MU': 4833.729508283069, 'DXCM': 257313.89681889626},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'GILD': 174487.573483481, 'MU': 186813.27858492115, 'DXCM': 104224.90696909695}","['KLAC', 'REGN', 'GILD', 'MU', 'DXCM']","([0.07752216893682817, 0.2592339500681657, 0.40109625466782683, 0.0048337295082830686, 0.25731389681889627],)","({'KLAC': 77522.16893682817, 'REGN': 259233.9500681657, 'GILD': 401096.2546678268, 'MU': 4833.729508283069, 'DXCM': 257313.89681889626},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'GILD': 174487.573483481, 'MU': 186813.27858492115, 'DXCM': 104224.90696909695}","['KLAC', 'REGN', 'ISRG', 'DXCM', 'ROST']","([0.05508564164150721, 0.448334600718057, 0.003695041369020142, 0.36326893493446794, 0.12961578133694776],)","({'KLAC': 55085.641641507216, 'REGN': 448334.60071805696, 'MU': 3695.041369020142, 'DXCM': 363268.93493446795, 'ROST': 129615.78133694777},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'REGN': 336654.4725768124, 'ISRG': 174487.573483481, 'DXCM': 186813.27858492115, 'ROST': 104224.90696909695}"
"['KLAC', 'REGN', 'MRVL', 'ILMN', 'GILD', 'MU', 'ISRG', 'DXCM', 'ROST', 'ORLY']",5,"(2019, 1, 1)","(2019, 3, 1)",59,1000000,0.5,0.95,"([0.4857248827757812, 0.18849646163673245, 0.00799997510780085, 0.07279101623120048, 0.24498766424848517],)","({'KLAC': 485724.8827757812, 'MRVL': 188496.46163673245, 'MU': 7999.975107800849, 'ISRG': 72791.01623120047, 'DXCM': 244987.66424848518},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'MRVL': 336654.4725768124, 'MU': 174487.573483481, 'ISRG': 186813.27858492115, 'DXCM': 104224.90696909695}","['KLAC', 'MRVL', 'MU', 'ISRG', 'DXCM']","([0.4857248827757812, 0.18849646163673245, 0.00799997510780085, 0.07279101623120048, 0.24498766424848517],)","({'KLAC': 485724.8827757812, 'MRVL': 188496.46163673245, 'MU': 7999.975107800849, 'ISRG': 72791.01623120047, 'DXCM': 244987.66424848518},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'MRVL': 336654.4725768124, 'MU': 174487.573483481, 'ISRG': 186813.27858492115, 'DXCM': 104224.90696909695}","['KLAC', 'MRVL', 'MU', 'ISRG', 'DXCM']","([0.4857248827757812, 0.18849646163673245, 0.00799997510780085, 0.07279101623120048, 0.24498766424848517],)","({'KLAC': 485724.8827757812, 'REGN': 188496.46163673245, 'MU': 7999.975107800849, 'ISRG': 72791.01623120047, 'DXCM': 244987.66424848518},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'MRVL': 336654.4725768124, 'MU': 174487.573483481, 'ISRG': 186813.27858492115, 'DXCM': 104224.90696909695}"
"['KLAC', 'REGN', 'MRVL', 'ILMN', 'GILD', 'MU', 'ISRG', 'DXCM', 'ROST', 'ORLY']",5,"(2019, 1, 1)","(2019, 4, 1)",90,1000000,0.5,0.95,"([0.3563187559608204, 0.02371343419141865, 0.0005300928279795217, 0.13393779466527925, 0.4854999223545022],)","({'KLAC': 356318.7559608204, 'MRVL': 23713.43419141865, 'MU': 530.0928279795216, 'ISRG': 133937.79466527925, 'ORLY': 485499.9223545022},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'MRVL': 336654.4725768124, 'MU': 174487.573483481, 'ISRG': 186813.27858492115, 'ORLY': 104224.90696909695}","['KLAC', 'MRVL', 'MU', 'ISRG', 'ORLY']","([0.3563187559608204, 0.02371343419141865, 0.0005300928279795217, 0.13393779466527925, 0.4854999223545022],)","({'KLAC': 356318.7559608204, 'MRVL': 23713.43419141865, 'MU': 530.0928279795216, 'ISRG': 133937.79466527925, 'ORLY': 485499.9223545022},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'MRVL': 336654.4725768124, 'MU': 174487.573483481, 'ISRG': 186813.27858492115, 'ORLY': 104224.90696909695}","['KLAC', 'MRVL', 'MU', 'ISRG', 'ORLY']","([0.4294487454003558, 0.021414137963516752, 0.014688147450732261, 0.16557948228979755, 0.3688694868955976],)","({'KLAC': 429448.74540035584, 'MRVL': 21414.13796351675, 'MU': 14688.14745073226, 'ISRG': 165579.48228979754, 'ROST': 368869.4868955976},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'MRVL': 336654.4725768124, 'MU': 174487.573483481, 'ISRG': 186813.27858492115, 'ORLY': 104224.90696909695}"
"['KLAC', 'REGN', 'MRVL', 'ILMN', 'GILD', 'MU', 'ISRG', 'DXCM', 'ROST', 'ORLY']",5,"(2019, 1, 1)","(2019, 5, 1)",120,1000000,0.5,0.95,"([0.2710585202321247, 0.3459974472067105, 0.00526804341471365, 0.12120399605746812, 0.25647199308898305],)","({'KLAC': 271058.52023212466, 'MRVL': 345997.4472067105, 'MU': 5268.043414713649, 'ROST': 121203.99605746812, 'ORLY': 256471.99308898306},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'MRVL': 336654.4725768124, 'MU': 174487.573483481, 'ROST': 186813.27858492115, 'ORLY': 104224.90696909695}","['KLAC', 'MRVL', 'MU', 'ROST', 'ORLY']","([0.2710585202321247, 0.3459974472067105, 0.00526804341471365, 0.12120399605746812, 0.25647199308898305],)","({'KLAC': 271058.52023212466, 'MRVL': 345997.4472067105, 'MU': 5268.043414713649, 'ROST': 121203.99605746812, 'ORLY': 256471.99308898306},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'MRVL': 336654.4725768124, 'MU': 174487.573483481, 'ISRG': 186813.27858492115, 'ROST': 104224.90696909695}","['KLAC', 'MRVL', 'MU', 'ISRG', 'ROST']","([0.2710585202321247, 0.3459974472067105, 0.00526804341471365, 0.12120399605746812, 0.25647199308898305],)","({'KLAC': 271058.52023212466, 'MRVL': 345997.4472067105, 'MU': 5268.043414713649, 'ROST': 121203.99605746812, 'ORLY': 256471.99308898306},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'MRVL': 336654.4725768124, 'MU': 174487.573483481, 'ISRG': 186813.27858492115, 'ROST': 104224.90696909695}"
"['KLAC', 'REGN', 'MRVL', 'ILMN', 'GILD', 'MU', 'ISRG', 'DXCM', 'ROST', 'ORLY']",5,"(2019, 1, 1)","(2019, 6, 1)",151,1000000,0.5,0.95,"([0.012407835337741127, 0.5229511538153258, 0.05873422234261435, 0.08747499836921274, 0.3184317901351061],)","({'KLAC': 12407.835337741128, 'MRVL': 522951.15381532576, 'DXCM': 58734.22234261435, 'ROST': 87474.99836921274, 'ORLY': 318431.7901351061},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'MRVL': 336654.4725768124, 'DXCM': 174487.573483481, 'ROST': 186813.27858492115, 'ORLY': 104224.90696909695}","['KLAC', 'MRVL', 'DXCM', 'ROST', 'ORLY']","([0.012407835337741127, 0.5229511538153258, 0.05873422234261435, 0.08747499836921274, 0.3184317901351061],)","({'KLAC': 12407.835337741128, 'MRVL': 522951.15381532576, 'DXCM': 58734.22234261435, 'ROST': 87474.99836921274, 'ORLY': 318431.7901351061},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'MRVL': 336654.4725768124, 'DXCM': 174487.573483481, 'ROST': 186813.27858492115, 'ORLY': 104224.90696909695}","['KLAC', 'MRVL', 'GILD', 'ROST', 'ORLY']","([0.003539901735615522, 0.7402608620723816, 0.06599628324453002, 0.019409533934162462, 0.17079341901331027],)","({'KLAC': 3539.901735615522, 'MRVL': 740260.8620723817, 'GILD': 65996.28324453003, 'DXCM': 19409.533934162464, 'ROST': 170793.41901331028},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'MRVL': 336654.4725768124, 'GILD': 174487.573483481, 'ROST': 186813.27858492115, 'ORLY': 104224.90696909695}"
"['KLAC', 'REGN', 'MRVL', 'ILMN', 'GILD', 'MU', 'ISRG', 'DXCM', 'ROST', 'ORLY']",5,"(2019, 1, 1)","(2019, 7, 1)",181,1000000,0.5,0.95,"([0.01433223305702159, 0.4663651227872285, 0.157268868751471, 0.1203350766033683, 0.2416986988009106],)","({'KLAC': 14332.23305702159, 'MRVL': 466365.12278722855, 'ILMN': 157268.868751471, 'DXCM': 120335.0766033683, 'ROST': 241698.6988009106},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'MRVL': 336654.4725768124, 'ILMN': 174487.573483481, 'DXCM': 186813.27858492115, 'ROST': 104224.90696909695}","['KLAC', 'MRVL', 'ILMN', 'DXCM', 'ROST']","([0.01433223305702159, 0.4663651227872285, 0.157268868751471, 0.1203350766033683, 0.2416986988009106],)","({'KLAC': 14332.23305702159, 'MRVL': 466365.12278722855, 'ILMN': 157268.868751471, 'DXCM': 120335.0766033683, 'ROST': 241698.6988009106},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'MRVL': 336654.4725768124, 'ILMN': 174487.573483481, 'DXCM': 186813.27858492115, 'ROST': 104224.90696909695}","['KLAC', 'MRVL', 'ISRG', 'DXCM', 'ROST']","([0.10554138897743397, 0.49388989980026504, 0.007121028372901557, 0.12435839436736867, 0.26908928848203073],)","({'KLAC': 105541.38897743396, 'MRVL': 493889.89980026503, 'GILD': 7121.028372901556, 'DXCM': 124358.39436736867, 'ROST': 269089.28848203074},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'MRVL': 336654.4725768124, 'ISRG': 174487.573483481, 'DXCM': 186813.27858492115, 'ROST': 104224.90696909695}"
"['KLAC', 'REGN', 'MRVL', 'ILMN', 'GILD', 'MU', 'ISRG', 'DXCM', 'ROST', 'ORLY']",5,"(2019, 1, 1)","(2019, 8, 1)",212,1000000,0.5,0.95,"([0.19662215179730091, 0.3721519781748097, 0.006381606467159494, 0.13860119299000248, 0.2862430705707274],)","({'KLAC': 196622.1517973009, 'MRVL': 372151.9781748097, 'MU': 6381.606467159494, 'DXCM': 138601.19299000248, 'ROST': 286243.0705707274},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'MRVL': 336654.4725768124, 'MU': 174487.573483481, 'DXCM': 186813.27858492115, 'ROST': 104224.90696909695}","['KLAC', 'MRVL', 'MU', 'DXCM', 'ROST']","([0.19662215179730091, 0.3721519781748097, 0.006381606467159494, 0.13860119299000248, 0.2862430705707274],)","({'KLAC': 196622.1517973009, 'MRVL': 372151.9781748097, 'MU': 6381.606467159494, 'DXCM': 138601.19299000248, 'ROST': 286243.0705707274},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'MRVL': 336654.4725768124, 'MU': 174487.573483481, 'DXCM': 186813.27858492115, 'ROST': 104224.90696909695}","['KLAC', 'MRVL', 'ISRG', 'DXCM', 'ROST']","([0.19662215179730091, 0.3721519781748097, 0.006381606467159494, 0.13860119299000248, 0.2862430705707274],)","({'KLAC': 196622.1517973009, 'MRVL': 372151.9781748097, 'MU': 6381.606467159494, 'DXCM': 138601.19299000248, 'ROST': 286243.0705707274},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'MRVL': 336654.4725768124, 'ISRG': 174487.573483481, 'DXCM': 186813.27858492115, 'ROST': 104224.90696909695}"
"['KLAC', 'REGN', 'MRVL', 'ILMN', 'GILD', 'MU', 'ISRG', 'DXCM', 'ROST', 'ORLY']",5,"(2019, 1, 1)","(2019, 9, 1)",243,1000000,0.5,0.95,"([0.5179997904833585, 0.09117551628409536, 0.0025459360917150725, 0.2341754073090572, 0.1541033498317739],)","({'KLAC': 517999.79048335855, 'MRVL': 91175.51628409536, 'MU': 2545.9360917150725, 'DXCM': 234175.4073090572, 'ROST': 154103.3498317739},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'MRVL': 336654.4725768124, 'MU': 174487.573483481, 'DXCM': 186813.27858492115, 'ROST': 104224.90696909695}","['KLAC', 'MRVL', 'MU', 'DXCM', 'ROST']","([0.5179997904833585, 0.09117551628409536, 0.0025459360917150725, 0.2341754073090572, 0.1541033498317739],)","({'KLAC': 517999.79048335855, 'MRVL': 91175.51628409536, 'MU': 2545.9360917150725, 'DXCM': 234175.4073090572, 'ROST': 154103.3498317739},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'MRVL': 336654.4725768124, 'MU': 174487.573483481, 'DXCM': 186813.27858492115, 'ROST': 104224.90696909695}","['KLAC', 'MRVL', 'DXCM', 'ROST', 'ORLY']","([0.5291689679408478, 0.0551347424057785, 0.14729810959799824, 0.2355218437697328, 0.03287633628564262],)","({'KLAC': 529168.9679408477, 'MRVL': 55134.7424057785, 'DXCM': 147298.10959799823, 'ROST': 235521.8437697328, 'ORLY': 32876.33628564262},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'MRVL': 336654.4725768124, 'DXCM': 174487.573483481, 'ROST': 186813.27858492115, 'ORLY': 104224.90696909695}"
"['KLAC', 'REGN', 'MRVL', 'ILMN', 'GILD', 'MU', 'ISRG', 'DXCM', 'ROST', 'ORLY']",5,"(2019, 1, 1)","(2019, 10, 1)",273,1000000,0.5,0.95,"([0.6057472509607611, 0.046507480435740635, 0.011301185324403332, 0.18543108181692486, 0.15101300146217025],)","({'KLAC': 605747.2509607611, 'MRVL': 46507.48043574063, 'DXCM': 11301.185324403332, 'ROST': 185431.08181692485, 'ORLY': 151013.00146217024},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'MRVL': 336654.4725768124, 'DXCM': 174487.573483481, 'ROST': 186813.27858492115, 'ORLY': 104224.90696909695}","['KLAC', 'MRVL', 'DXCM', 'ROST', 'ORLY']","([0.6057472509607611, 0.046507480435740635, 0.011301185324403332, 0.18543108181692486, 0.15101300146217025],)","({'KLAC': 605747.2509607611, 'MRVL': 46507.48043574063, 'DXCM': 11301.185324403332, 'ROST': 185431.08181692485, 'ORLY': 151013.00146217024},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'MRVL': 336654.4725768124, 'DXCM': 174487.573483481, 'ROST': 186813.27858492115, 'ORLY': 104224.90696909695}","['KLAC', 'MRVL', 'ISRG', 'DXCM', 'ROST']","([0.5108013601336041, 0.03252731929883406, 0.005834748805308551, 0.004264184406734092, 0.44657238735551913],)","({'KLAC': 510801.3601336041, 'MRVL': 32527.31929883406, 'MU': 5834.748805308551, 'ISRG': 4264.184406734092, 'ROST': 446572.3873555191},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'KLAC': 197819.76838568875, 'MRVL': 336654.4725768124, 'ISRG': 174487.573483481, 'DXCM': 186813.27858492115, 'ROST': 104224.90696909695}"
