Selected Stocks By User,How many Stocks to select?,Start Date,End Date,Duration,Portfolio Value,Risk Factor,Confidence Level,Optimal weigths by CVAR for Numpy,Amount to Invest in each Stock by CVAR for Numpy,Optimal weigths by MVO for Numpy,Amount to Invest in each Stock by MVO for Numpy,Optimal Stocks Selected by Numpy,Optimal weigths by CVAR for QAOA,Amount to Invest in each Stock by CVAR for QAOA,Optimal weigths by MVO for QAOA,Amount to Invest in each Stock by MVO for QAOA,Optimal Stocks Selected by QAOA,Optimal weigths by CVAR for Sampling VQE,Amount to Invest in each Stock by CVAR for Sampling VQE,Optimal weigths by MVO for Sampling VQE,Amount to Invest in each Stock by MVO for Sampling VQE
"['ADBE', 'PEP', 'AMD', 'CMCSA', 'NFLX', 'INTU', 'TXN', 'QCOM', 'PYPL', 'AMGN']",5,"(2019, 1, 1)","(2021, 2, 1)",762,1000000,0.5,0.95,"([0.3719991162990701, 0.01564563440756189, 0.04809388499184564, 0.23498051357752017, 0.32928085072400215],)","({'AMD': 371999.1162990701, 'CMCSA': 15645.634407561889, 'NFLX': 48093.88499184564, 'QCOM': 234980.51357752018, 'PYPL': 329280.8507240022},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AMD': 197819.76838568875, 'CMCSA': 336654.4725768124, 'NFLX': 174487.573483481, 'QCOM': 186813.27858492115, 'PYPL': 104224.90696909695}","['AMD', 'CMCSA', 'NFLX', 'QCOM', 'PYPL']","([0.3719991162990701, 0.01564563440756189, 0.04809388499184564, 0.23498051357752017, 0.32928085072400215],)","({'AMD': 371999.1162990701, 'CMCSA': 15645.634407561889, 'NFLX': 48093.88499184564, 'QCOM': 234980.51357752018, 'PYPL': 329280.8507240022},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AMD': 197819.76838568875, 'CMCSA': 336654.4725768124, 'NFLX': 174487.573483481, 'QCOM': 186813.27858492115, 'PYPL': 104224.90696909695}","['ADBE', 'AMD', 'NFLX', 'QCOM', 'PYPL']","([0.003968891455525454, 0.40912987687574337, 0.045992534806135785, 0.2332025323946673, 0.30770616446792814],)","({'ADBE': 3968.8914555254537, 'AMD': 409129.8768757434, 'NFLX': 45992.53480613579, 'QCOM': 233202.5323946673, 'PYPL': 307706.1644679281},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'ADBE': 197819.76838568875, 'AMD': 336654.4725768124, 'NFLX': 174487.573483481, 'QCOM': 186813.27858492115, 'PYPL': 104224.90696909695}"
"['ADBE', 'PEP', 'AMD', 'CMCSA', 'NFLX', 'INTU', 'TXN', 'QCOM', 'PYPL', 'AMGN']",5,"(2019, 1, 1)","(2021, 3, 1)",790,1000000,0.5,0.95,"([0.3563187559608204, 0.02371343419141865, 0.0005300928279795217, 0.13393779466527925, 0.4854999223545022],)","({'AMD': 356318.7559608204, 'CMCSA': 23713.43419141865, 'NFLX': 530.0928279795216, 'QCOM': 133937.79466527925, 'PYPL': 485499.9223545022},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AMD': 197819.76838568875, 'CMCSA': 336654.4725768124, 'NFLX': 174487.573483481, 'QCOM': 186813.27858492115, 'PYPL': 104224.90696909695}","['AMD', 'CMCSA', 'NFLX', 'QCOM', 'PYPL']","([0.3563187559608204, 0.02371343419141865, 0.0005300928279795217, 0.13393779466527925, 0.4854999223545022],)","({'AMD': 356318.7559608204, 'CMCSA': 23713.43419141865, 'NFLX': 530.0928279795216, 'QCOM': 133937.79466527925, 'PYPL': 485499.9223545022},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AMD': 197819.76838568875, 'CMCSA': 336654.4725768124, 'NFLX': 174487.573483481, 'QCOM': 186813.27858492115, 'PYPL': 104224.90696909695}","['ADBE', 'AMD', 'NFLX', 'TXN', 'PYPL']","([0.3563187559608204, 0.02371343419141865, 0.0005300928279795217, 0.13393779466527925, 0.4854999223545022],)","({'AMD': 356318.7559608204, 'NFLX': 23713.43419141865, 'TXN': 530.0928279795216, 'QCOM': 133937.79466527925, 'PYPL': 485499.9223545022},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'ADBE': 197819.76838568875, 'AMD': 336654.4725768124, 'NFLX': 174487.573483481, 'TXN': 186813.27858492115, 'PYPL': 104224.90696909695}"
"['ADBE', 'PEP', 'AMD', 'CMCSA', 'NFLX', 'INTU', 'TXN', 'QCOM', 'PYPL', 'AMGN']",5,"(2019, 1, 1)","(2021, 4, 1)",821,1000000,0.5,0.95,"([0.4000419798806302, 0.11552872275674055, 0.014437105749880396, 0.05543876228104552, 0.4145534293317033],)","({'AMD': 400041.9798806302, 'CMCSA': 115528.72275674055, 'NFLX': 14437.105749880397, 'QCOM': 55438.76228104552, 'PYPL': 414553.4293317033},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AMD': 197819.76838568875, 'CMCSA': 336654.4725768124, 'NFLX': 174487.573483481, 'QCOM': 186813.27858492115, 'PYPL': 104224.90696909695}","['AMD', 'CMCSA', 'NFLX', 'QCOM', 'PYPL']","([0.4000419798806302, 0.11552872275674055, 0.014437105749880396, 0.05543876228104552, 0.4145534293317033],)","({'AMD': 400041.9798806302, 'CMCSA': 115528.72275674055, 'NFLX': 14437.105749880397, 'QCOM': 55438.76228104552, 'PYPL': 414553.4293317033},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AMD': 197819.76838568875, 'CMCSA': 336654.4725768124, 'NFLX': 174487.573483481, 'QCOM': 186813.27858492115, 'PYPL': 104224.90696909695}","['AMD', 'CMCSA', 'NFLX', 'TXN', 'PYPL']","([0.4000419798806302, 0.11552872275674055, 0.014437105749880396, 0.05543876228104552, 0.4145534293317033],)","({'AMD': 400041.9798806302, 'CMCSA': 115528.72275674055, 'NFLX': 14437.105749880397, 'QCOM': 55438.76228104552, 'PYPL': 414553.4293317033},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AMD': 197819.76838568875, 'CMCSA': 336654.4725768124, 'NFLX': 174487.573483481, 'TXN': 186813.27858492115, 'PYPL': 104224.90696909695}"
"['ADBE', 'PEP', 'AMD', 'CMCSA', 'NFLX', 'INTU', 'TXN', 'QCOM', 'PYPL', 'AMGN']",5,"(2019, 1, 1)","(2021, 5, 1)",851,1000000,0.5,0.95,"([0.3392518780573525, 0.17948576251376197, 0.004392512602353998, 0.05638300850929546, 0.4204868383172361],)","({'AMD': 339251.8780573525, 'CMCSA': 179485.76251376196, 'NFLX': 4392.512602353998, 'QCOM': 56383.00850929546, 'PYPL': 420486.8383172361},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AMD': 197819.76838568875, 'CMCSA': 336654.4725768124, 'NFLX': 174487.573483481, 'QCOM': 186813.27858492115, 'PYPL': 104224.90696909695}","['AMD', 'CMCSA', 'NFLX', 'QCOM', 'PYPL']","([0.002742521526232621, 0.28695076598547514, 0.14889651007371102, 0.09897421635476632, 0.4624359860598149],)","({'ADBE': 2742.521526232621, 'AMD': 286950.76598547515, 'CMCSA': 148896.51007371102, 'QCOM': 98974.21635476632, 'PYPL': 462435.9860598149},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AMD': 197819.76838568875, 'CMCSA': 336654.4725768124, 'NFLX': 174487.573483481, 'QCOM': 186813.27858492115, 'PYPL': 104224.90696909695}","['ADBE', 'AMD', 'NFLX', 'QCOM', 'PYPL']","([0.3392518780573525, 0.17948576251376197, 0.004392512602353998, 0.05638300850929546, 0.4204868383172361],)","({'AMD': 339251.8780573525, 'CMCSA': 179485.76251376196, 'NFLX': 4392.512602353998, 'QCOM': 56383.00850929546, 'PYPL': 420486.8383172361},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'ADBE': 197819.76838568875, 'AMD': 336654.4725768124, 'NFLX': 174487.573483481, 'QCOM': 186813.27858492115, 'PYPL': 104224.90696909695}"
"['ADBE', 'PEP', 'AMD', 'CMCSA', 'NFLX', 'INTU', 'TXN', 'QCOM', 'PYPL', 'AMGN']",5,"(2019, 1, 1)","(2021, 6, 1)",882,1000000,0.5,0.95,"([0.3392518780573525, 0.17948576251376197, 0.004392512602353998, 0.05638300850929546, 0.4204868383172361],)","({'AMD': 339251.8780573525, 'CMCSA': 179485.76251376196, 'INTU': 4392.512602353998, 'QCOM': 56383.00850929546, 'PYPL': 420486.8383172361},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AMD': 197819.76838568875, 'CMCSA': 336654.4725768124, 'INTU': 174487.573483481, 'QCOM': 186813.27858492115, 'PYPL': 104224.90696909695}","['AMD', 'CMCSA', 'INTU', 'QCOM', 'PYPL']","([0.3392518780573525, 0.17948576251376197, 0.004392512602353998, 0.05638300850929546, 0.4204868383172361],)","({'AMD': 339251.8780573525, 'CMCSA': 179485.76251376196, 'NFLX': 4392.512602353998, 'QCOM': 56383.00850929546, 'PYPL': 420486.8383172361},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AMD': 197819.76838568875, 'CMCSA': 336654.4725768124, 'INTU': 174487.573483481, 'QCOM': 186813.27858492115, 'PYPL': 104224.90696909695}","['AMD', 'CMCSA', 'NFLX', 'INTU', 'PYPL']","([0.3392518780573525, 0.17948576251376197, 0.004392512602353998, 0.05638300850929546, 0.4204868383172361],)","({'AMD': 339251.8780573525, 'CMCSA': 179485.76251376196, 'NFLX': 4392.512602353998, 'QCOM': 56383.00850929546, 'PYPL': 420486.8383172361},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AMD': 197819.76838568875, 'CMCSA': 336654.4725768124, 'NFLX': 174487.573483481, 'INTU': 186813.27858492115, 'PYPL': 104224.90696909695}"
"['ADBE', 'PEP', 'AMD', 'CMCSA', 'NFLX', 'INTU', 'TXN', 'QCOM', 'PYPL', 'AMGN']",5,"(2019, 1, 1)","(2021, 7, 1)",912,1000000,0.5,0.95,"([0.35539766689519275, 0.0645772455539613, 0.0633606482376534, 0.08700890840238097, 0.42965553091081166],)","({'AMD': 355397.66689519276, 'CMCSA': 64577.2455539613, 'INTU': 63360.648237653404, 'QCOM': 87008.90840238097, 'PYPL': 429655.5309108117},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AMD': 197819.76838568875, 'CMCSA': 336654.4725768124, 'INTU': 174487.573483481, 'QCOM': 186813.27858492115, 'PYPL': 104224.90696909695}","['AMD', 'CMCSA', 'INTU', 'QCOM', 'PYPL']","([0.35539766689519275, 0.0645772455539613, 0.0633606482376534, 0.08700890840238097, 0.42965553091081166],)","({'AMD': 355397.66689519276, 'CMCSA': 64577.2455539613, 'INTU': 63360.648237653404, 'QCOM': 87008.90840238097, 'PYPL': 429655.5309108117},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AMD': 197819.76838568875, 'CMCSA': 336654.4725768124, 'INTU': 174487.573483481, 'QCOM': 186813.27858492115, 'PYPL': 104224.90696909695}","['ADBE', 'AMD', 'INTU', 'QCOM', 'PYPL']","([0.015388807202284898, 0.39602511594608975, 0.07412340864269656, 0.031891996545414254, 0.4825706716635145],)","({'ADBE': 15388.807202284897, 'AMD': 396025.11594608973, 'INTU': 74123.40864269657, 'QCOM': 31891.996545414255, 'PYPL': 482570.6716635145},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'ADBE': 197819.76838568875, 'AMD': 336654.4725768124, 'INTU': 174487.573483481, 'QCOM': 186813.27858492115, 'PYPL': 104224.90696909695}"
"['ADBE', 'PEP', 'AMD', 'CMCSA', 'NFLX', 'INTU', 'TXN', 'QCOM', 'PYPL', 'AMGN']",5,"(2019, 1, 1)","(2021, 8, 1)",943,1000000,0.5,0.95,"([0.11821216847051244, 0.4112189028641757, 0.23628819559631686, 0.02752931828915785, 0.20675141477983713],)","({'ADBE': 118212.16847051244, 'AMD': 411218.9028641757, 'INTU': 236288.19559631686, 'QCOM': 27529.31828915785, 'PYPL': 206751.41477983713},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'ADBE': 197819.76838568875, 'AMD': 336654.4725768124, 'INTU': 174487.573483481, 'QCOM': 186813.27858492115, 'PYPL': 104224.90696909695}","['ADBE', 'AMD', 'INTU', 'QCOM', 'PYPL']","([0.11821216847051244, 0.4112189028641757, 0.23628819559631686, 0.02752931828915785, 0.20675141477983713],)","({'ADBE': 118212.16847051244, 'AMD': 411218.9028641757, 'INTU': 236288.19559631686, 'QCOM': 27529.31828915785, 'PYPL': 206751.41477983713},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'ADBE': 197819.76838568875, 'AMD': 336654.4725768124, 'INTU': 174487.573483481, 'QCOM': 186813.27858492115, 'PYPL': 104224.90696909695}","['ADBE', 'AMD', 'INTU', 'TXN', 'PYPL']","([0.4516625682228192, 0.06412076494075021, 0.0007532677216611685, 0.10451041578994089, 0.3789529833248285],)","({'AMD': 451662.5682228192, 'CMCSA': 64120.76494075021, 'NFLX': 753.2677216611685, 'QCOM': 104510.41578994089, 'PYPL': 378952.9833248285},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'ADBE': 197819.76838568875, 'AMD': 336654.4725768124, 'INTU': 174487.573483481, 'TXN': 186813.27858492115, 'PYPL': 104224.90696909695}"
"['ADBE', 'PEP', 'AMD', 'CMCSA', 'NFLX', 'INTU', 'TXN', 'QCOM', 'PYPL', 'AMGN']",5,"(2019, 1, 1)","(2021, 9, 1)",974,1000000,0.5,0.95,"([0.09005678512652718, 0.3700841571185416, 0.08021523117903016, 0.2533793044233092, 0.20626452215259203],)","({'ADBE': 90056.78512652717, 'AMD': 370084.1571185416, 'CMCSA': 80215.23117903016, 'INTU': 253379.3044233092, 'PYPL': 206264.52215259202},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'ADBE': 197819.76838568875, 'AMD': 336654.4725768124, 'CMCSA': 174487.573483481, 'INTU': 186813.27858492115, 'PYPL': 104224.90696909695}","['ADBE', 'AMD', 'CMCSA', 'INTU', 'PYPL']","([0.09005678512652718, 0.3700841571185416, 0.08021523117903016, 0.2533793044233092, 0.20626452215259203],)","({'ADBE': 90056.78512652717, 'AMD': 370084.1571185416, 'CMCSA': 80215.23117903016, 'INTU': 253379.3044233092, 'PYPL': 206264.52215259202},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'ADBE': 197819.76838568875, 'AMD': 336654.4725768124, 'CMCSA': 174487.573483481, 'INTU': 186813.27858492115, 'PYPL': 104224.90696909695}","['AMD', 'CMCSA', 'NFLX', 'INTU', 'PYPL']","([0.1366103117057706, 0.32105957828518966, 0.29554461267158555, 0.006967076428819216, 0.23981842090863498],)","({'ADBE': 136610.31170577058, 'AMD': 321059.57828518964, 'INTU': 295544.6126715855, 'TXN': 6967.076428819216, 'PYPL': 239818.420908635},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AMD': 197819.76838568875, 'CMCSA': 336654.4725768124, 'NFLX': 174487.573483481, 'INTU': 186813.27858492115, 'PYPL': 104224.90696909695}"
"['ADBE', 'PEP', 'AMD', 'CMCSA', 'NFLX', 'INTU', 'TXN', 'QCOM', 'PYPL', 'AMGN']",5,"(2019, 1, 1)","(2021, 10, 1)",1004,1000000,0.5,0.95,"([0.3506543636877239, 0.013826847051781362, 0.13223103094255276, 0.3561000125739426, 0.14718774574399945],)","({'AMD': 350654.3636877239, 'CMCSA': 13826.847051781362, 'NFLX': 132231.03094255275, 'INTU': 356100.0125739426, 'PYPL': 147187.74574399946},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AMD': 197819.76838568875, 'CMCSA': 336654.4725768124, 'NFLX': 174487.573483481, 'INTU': 186813.27858492115, 'PYPL': 104224.90696909695}","['AMD', 'CMCSA', 'NFLX', 'INTU', 'PYPL']","([0.3506543636877239, 0.013826847051781362, 0.13223103094255276, 0.3561000125739426, 0.14718774574399945],)","({'AMD': 350654.3636877239, 'CMCSA': 13826.847051781362, 'NFLX': 132231.03094255275, 'INTU': 356100.0125739426, 'PYPL': 147187.74574399946},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AMD': 197819.76838568875, 'CMCSA': 336654.4725768124, 'NFLX': 174487.573483481, 'INTU': 186813.27858492115, 'PYPL': 104224.90696909695}","['ADBE', 'AMD', 'NFLX', 'INTU', 'PYPL']","([0.0007774241730312575, 0.3868479610758254, 0.09511483469519544, 0.30332160161280125, 0.2139381784431467],)","({'ADBE': 777.4241730312575, 'AMD': 386847.96107582544, 'NFLX': 95114.83469519544, 'INTU': 303321.60161280126, 'PYPL': 213938.1784431467},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'ADBE': 197819.76838568875, 'AMD': 336654.4725768124, 'NFLX': 174487.573483481, 'INTU': 186813.27858492115, 'PYPL': 104224.90696909695}"
"['ADBE', 'PEP', 'AMD', 'CMCSA', 'NFLX', 'INTU', 'TXN', 'QCOM', 'PYPL', 'AMGN']",5,"(2019, 1, 1)","(2021, 11, 1)",1035,1000000,0.5,0.95,"([0.06998955034371401, 0.2916109233625385, 0.11881545867073, 0.5191852582594345, 0.0003988093635829435],)","({'ADBE': 69989.55034371401, 'AMD': 291610.9233625385, 'NFLX': 118815.45867073, 'INTU': 519185.2582594345, 'QCOM': 398.8093635829435},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'ADBE': 197819.76838568875, 'AMD': 336654.4725768124, 'NFLX': 174487.573483481, 'INTU': 186813.27858492115, 'QCOM': 104224.90696909695}","['ADBE', 'AMD', 'NFLX', 'INTU', 'QCOM']","([0.06998955034371401, 0.2916109233625385, 0.11881545867073, 0.5191852582594345, 0.0003988093635829435],)","({'ADBE': 69989.55034371401, 'AMD': 291610.9233625385, 'NFLX': 118815.45867073, 'INTU': 519185.2582594345, 'QCOM': 398.8093635829435},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'ADBE': 197819.76838568875, 'AMD': 336654.4725768124, 'NFLX': 174487.573483481, 'INTU': 186813.27858492115, 'QCOM': 104224.90696909695}","['ADBE', 'AMD', 'NFLX', 'INTU', 'QCOM']","([0.06998955034371401, 0.2916109233625385, 0.11881545867073, 0.5191852582594345, 0.0003988093635829435],)","({'ADBE': 69989.55034371401, 'AMD': 291610.9233625385, 'NFLX': 118815.45867073, 'INTU': 519185.2582594345, 'PYPL': 398.8093635829435},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'ADBE': 197819.76838568875, 'AMD': 336654.4725768124, 'NFLX': 174487.573483481, 'INTU': 186813.27858492115, 'QCOM': 104224.90696909695}"
