Selected Stocks By User,How many Stocks to select?,Start Date,End Date,Duration,Portfolio Value,Risk Factor,Confidence Level,Optimal Stocks Selected by Numpy,Optimal weigths by MVO for Numpy,Amount to Invest in each Stock by MVO for Numpy,Optimal weigths by CVAR for Numpy,Amount to Invest in each Stock by CVAR for Numpy,Optimal Stocks Selected by QAOA,Optimal weigths by MVO for QAOA,Amount to Invest in each Stock by MVO for QAOA,Optimal weigths by CVAR for QAOA,Amount to Invest in each Stock by CVAR for QAOA,Optimal Stocks Selected by Sampling VQE,Optimal weigths by MVO for Sampling VQE,Amount to Invest in each Stock by MVO for Sampling VQE,Optimal weigths by CVAR for Sampling VQE,Amount to Invest in each Stock by CVAR for Sampling VQE
"['AAPL', 'MSFT', 'GOOG', 'GOOGL', 'AMZN', 'NVDA']",3,"(2018, 1, 1)","(2020, 1, 1)",730,1000000,0.5,0.95,"['AAPL', 'MSFT', 'AMZN']",[0.71308967 0.03270916 0.25420117],"{'AAPL': 713089.6690528769, 'MSFT': 32709.16292831362, 'AMZN': 254201.16801880955}",[0.13828433 0.85562342 0.00609225],"{'AAPL': 138284.32814438338, 'MSFT': 855623.42491411, 'AMZN': 6092.246941506552}","['AAPL', 'MSFT', 'AMZN']",[0.71308967 0.03270916 0.25420117],"{'AAPL': 713089.6690528769, 'MSFT': 32709.16292831362, 'AMZN': 254201.16801880955}",[0.13828433 0.85562342 0.00609225],"{'AAPL': 138284.32814438338, 'MSFT': 855623.42491411, 'AMZN': 6092.246941506552}","['AAPL', 'MSFT', 'AMZN']",[0.71308967 0.03270916 0.25420117],"{'AAPL': 713089.6690528769, 'MSFT': 32709.16292831362, 'GOOG': 254201.16801880955}",[0.13828433 0.85562342 0.00609225],"{'AAPL': 138284.32814438338, 'MSFT': 855623.42491411, 'AMZN': 6092.246941506552}"
"['AAPL', 'MSFT', 'GOOG', 'GOOGL', 'AMZN', 'NVDA', 'PEP', 'QCOM', 'NFLX', 'PYPL', 'AMGN']",3,"(2018, 1, 1)","(2020, 1, 1)",730,1000000,0.5,0.95,"['AAPL', 'MSFT', 'AMGN']",[0.71308967 0.03270916 0.25420117],"{'AAPL': 713089.6690528769, 'MSFT': 32709.16292831362, 'AMGN': 254201.16801880955}",[0.13773788 0.68755468 0.17470744],"{'AAPL': 137737.87826767354, 'MSFT': 687554.6823408994, 'AMGN': 174707.4393914271}","['AAPL', 'MSFT', 'NFLX']",[0.71308967 0.03270916 0.25420117],"{'AAPL': 713089.6690528769, 'MSFT': 32709.16292831362, 'AMGN': 254201.16801880955}",[0.13828433 0.85562342 0.00609225],"{'AAPL': 138284.32814438338, 'MSFT': 855623.42491411, 'NFLX': 6092.246941506552}","['AAPL', 'MSFT', 'AMGN']",[0.71308967 0.03270916 0.25420117],"{'AAPL': 713089.6690528769, 'MSFT': 32709.16292831362, 'AMGN': 254201.16801880955}",[0.13773788 0.68755468 0.17470744],"{'AAPL': 137737.87826767354, 'MSFT': 687554.6823408994, 'AMGN': 174707.4393914271}"
