Selected Stocks By User,How many Stocks to select?,Start Date,End Date,Duration,Portfolio Value,Risk Factor,Confidence Level,Optimal weigths by CVAR for Numpy,Amount to Invest in each Stock by CVAR for Numpy,Optimal weigths by MVO for Numpy,Amount to Invest in each Stock by MVO for Numpy,Optimal Stocks Selected by Numpy,Optimal weigths by CVAR for QAOA,Amount to Invest in each Stock by CVAR for QAOA,Optimal weigths by MVO for QAOA,Amount to Invest in each Stock by MVO for QAOA,Optimal Stocks Selected by QAOA,Optimal weigths by CVAR for Sampling VQE,Amount to Invest in each Stock by CVAR for Sampling VQE,Optimal weigths by MVO for Sampling VQE,Amount to Invest in each Stock by MVO for Sampling VQE
"['ADBE', 'PEP', 'AMD', 'CMCSA', 'NFLX', 'INTU', 'TXN', 'QCOM', 'PYPL', 'AMGN']",5,"(2019, 1, 1)","(2020, 2, 1)",396,1000000,0.5,0.95,"([0.2356819928888767, 0.5503601624086486, 0.11216700249893001, 0.036103494677124814, 0.06568734752641993],)","({'ADBE': 235681.9928888767, 'PEP': 550360.1624086486, 'AMD': 112167.00249893001, 'INTU': 36103.494677124814, 'QCOM': 65687.34752641992},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'ADBE': 197819.76838568875, 'PEP': 336654.4725768124, 'AMD': 174487.573483481, 'INTU': 186813.27858492115, 'QCOM': 104224.90696909695}","['ADBE', 'PEP', 'AMD', 'INTU', 'QCOM']","([0.2356819928888767, 0.5503601624086486, 0.11216700249893001, 0.036103494677124814, 0.06568734752641993],)","({'ADBE': 235681.9928888767, 'PEP': 550360.1624086486, 'AMD': 112167.00249893001, 'INTU': 36103.494677124814, 'QCOM': 65687.34752641992},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'ADBE': 197819.76838568875, 'PEP': 336654.4725768124, 'AMD': 174487.573483481, 'INTU': 186813.27858492115, 'QCOM': 104224.90696909695}","['ADBE', 'PEP', 'AMD', 'QCOM', 'PYPL']","([0.4764667084902217, 0.1456553747742174, 0.19968189489784555, 0.13805153751275945, 0.04014448432495575],)","({'ADBE': 476466.7084902217, 'AMD': 145655.3747742174, 'INTU': 199681.89489784554, 'QCOM': 138051.53751275945, 'AMGN': 40144.48432495575},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'ADBE': 197819.76838568875, 'PEP': 336654.4725768124, 'AMD': 174487.573483481, 'QCOM': 186813.27858492115, 'PYPL': 104224.90696909695}"
"['ADBE', 'PEP', 'AMD', 'CMCSA', 'NFLX', 'INTU', 'TXN', 'QCOM', 'PYPL', 'AMGN']",5,"(2019, 1, 1)","(2020, 3, 1)",425,1000000,0.5,0.95,"([0.30369573650767806, 0.4609070705975778, 0.17067577682316262, 0.03485976292874908, 0.02986165314283237],)","({'ADBE': 303695.73650767806, 'PEP': 460907.0705975778, 'AMD': 170675.77682316263, 'INTU': 34859.76292874908, 'QCOM': 29861.65314283237},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'ADBE': 197819.76838568875, 'PEP': 336654.4725768124, 'AMD': 174487.573483481, 'INTU': 186813.27858492115, 'QCOM': 104224.90696909695}","['ADBE', 'PEP', 'AMD', 'INTU', 'QCOM']","([0.30369573650767806, 0.4609070705975778, 0.17067577682316262, 0.03485976292874908, 0.02986165314283237],)","({'ADBE': 303695.73650767806, 'PEP': 460907.0705975778, 'AMD': 170675.77682316263, 'INTU': 34859.76292874908, 'QCOM': 29861.65314283237},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'ADBE': 197819.76838568875, 'PEP': 336654.4725768124, 'AMD': 174487.573483481, 'NFLX': 186813.27858492115, 'QCOM': 104224.90696909695}","['ADBE', 'PEP', 'AMD', 'QCOM', 'PYPL']","([0.509340210793634, 0.2816311780381895, 0.12968371583313137, 0.07868057796468243, 0.0006643173703626551],)","({'ADBE': 509340.210793634, 'AMD': 281631.1780381895, 'INTU': 129683.71583313137, 'QCOM': 78680.57796468244, 'PYPL': 664.3173703626551},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'ADBE': 197819.76838568875, 'PEP': 336654.4725768124, 'AMD': 174487.573483481, 'QCOM': 186813.27858492115, 'PYPL': 104224.90696909695}"
"['ADBE', 'PEP', 'AMD', 'CMCSA', 'NFLX', 'INTU', 'TXN', 'QCOM', 'PYPL', 'AMGN']",5,"(2019, 1, 1)","(2020, 4, 1)",456,1000000,0.5,0.95,"([0.08283331393224136, 0.03799983033542, 0.7528876637929123, 0.1089711793354087, 0.017308012604017646],)","({'ADBE': 82833.31393224136, 'PEP': 37999.83033542, 'AMD': 752887.6637929123, 'NFLX': 108971.1793354087, 'AMGN': 17308.012604017647},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'ADBE': 197819.76838568875, 'PEP': 336654.4725768124, 'AMD': 174487.573483481, 'NFLX': 186813.27858492115, 'AMGN': 104224.90696909695}","['ADBE', 'PEP', 'AMD', 'NFLX', 'AMGN']","([0.08283331393224136, 0.03799983033542, 0.7528876637929123, 0.1089711793354087, 0.017308012604017646],)","({'ADBE': 82833.31393224136, 'PEP': 37999.83033542, 'AMD': 752887.6637929123, 'NFLX': 108971.1793354087, 'AMGN': 17308.012604017647},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'ADBE': 197819.76838568875, 'PEP': 336654.4725768124, 'AMD': 174487.573483481, 'NFLX': 186813.27858492115, 'AMGN': 104224.90696909695}","['ADBE', 'PEP', 'AMD', 'CMCSA', 'NFLX']","([0.08283331393224136, 0.03799983033542, 0.7528876637929123, 0.1089711793354087, 0.017308012604017646],)","({'ADBE': 82833.31393224136, 'PEP': 37999.83033542, 'AMD': 752887.6637929123, 'NFLX': 108971.1793354087, 'INTU': 17308.012604017647},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'ADBE': 197819.76838568875, 'PEP': 336654.4725768124, 'AMD': 174487.573483481, 'CMCSA': 186813.27858492115, 'NFLX': 104224.90696909695}"
"['ADBE', 'PEP', 'AMD', 'CMCSA', 'NFLX', 'INTU', 'TXN', 'QCOM', 'PYPL', 'AMGN']",5,"(2019, 1, 1)","(2020, 5, 1)",486,1000000,0.5,0.95,"([0.02677336443728258, 0.021025102796418144, 0.6464714400542363, 0.2391198633858075, 0.06661022932625535],)","({'ADBE': 26773.36443728258, 'PEP': 21025.102796418145, 'AMD': 646471.4400542363, 'NFLX': 239119.86338580752, 'AMGN': 66610.22932625534},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'ADBE': 197819.76838568875, 'PEP': 336654.4725768124, 'AMD': 174487.573483481, 'NFLX': 186813.27858492115, 'AMGN': 104224.90696909695}","['ADBE', 'PEP', 'AMD', 'NFLX', 'AMGN']","([0.02677336443728258, 0.021025102796418144, 0.6464714400542363, 0.2391198633858075, 0.06661022932625535],)","({'ADBE': 26773.36443728258, 'PEP': 21025.102796418145, 'AMD': 646471.4400542363, 'NFLX': 239119.86338580752, 'AMGN': 66610.22932625534},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'ADBE': 197819.76838568875, 'PEP': 336654.4725768124, 'AMD': 174487.573483481, 'NFLX': 186813.27858492115, 'AMGN': 104224.90696909695}","['ADBE', 'AMD', 'NFLX', 'INTU', 'QCOM']","([0.055204093652355755, 0.6072140300414542, 0.20641473417435738, 0.015408359496425694, 0.11575878263540694],)","({'ADBE': 55204.093652355754, 'AMD': 607214.0300414542, 'NFLX': 206414.73417435738, 'PYPL': 15408.359496425694, 'AMGN': 115758.78263540694},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'ADBE': 197819.76838568875, 'AMD': 336654.4725768124, 'NFLX': 174487.573483481, 'INTU': 186813.27858492115, 'QCOM': 104224.90696909695}"
"['ADBE', 'PEP', 'AMD', 'CMCSA', 'NFLX', 'INTU', 'TXN', 'QCOM', 'PYPL', 'AMGN']",5,"(2019, 1, 1)","(2020, 6, 1)",517,1000000,0.5,0.95,"([0.15540456074290104, 0.542228336691723, 0.09807784659638016, 0.19889908422664743, 0.005390171742348493],)","({'ADBE': 155404.56074290106, 'AMD': 542228.336691723, 'NFLX': 98077.84659638016, 'PYPL': 198899.08422664742, 'AMGN': 5390.171742348492},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'ADBE': 197819.76838568875, 'AMD': 336654.4725768124, 'NFLX': 174487.573483481, 'PYPL': 186813.27858492115, 'AMGN': 104224.90696909695}","['ADBE', 'AMD', 'NFLX', 'PYPL', 'AMGN']","([0.15540456074290104, 0.542228336691723, 0.09807784659638016, 0.19889908422664743, 0.005390171742348493],)","({'ADBE': 155404.56074290106, 'AMD': 542228.336691723, 'NFLX': 98077.84659638016, 'PYPL': 198899.08422664742, 'AMGN': 5390.171742348492},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'ADBE': 197819.76838568875, 'AMD': 336654.4725768124, 'NFLX': 174487.573483481, 'PYPL': 186813.27858492115, 'AMGN': 104224.90696909695}","['ADBE', 'PEP', 'AMD', 'NFLX', 'PYPL']","([0.09852899550723589, 0.5169786349016843, 0.054625410140634836, 0.007528531509707484, 0.3223384279407377],)","({'ADBE': 98528.99550723589, 'AMD': 516978.6349016843, 'NFLX': 54625.410140634835, 'QCOM': 7528.5315097074845, 'PYPL': 322338.4279407377},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'ADBE': 197819.76838568875, 'PEP': 336654.4725768124, 'AMD': 174487.573483481, 'NFLX': 186813.27858492115, 'PYPL': 104224.90696909695}"
"['ADBE', 'PEP', 'AMD', 'CMCSA', 'NFLX', 'INTU', 'TXN', 'QCOM', 'PYPL', 'AMGN']",5,"(2019, 1, 1)","(2020, 7, 1)",547,1000000,0.5,0.95,"([0.16835839031476882, 0.33289309978115933, 0.15321477096153027, 0.005517487387794577, 0.340016251554747],)","({'ADBE': 168358.39031476883, 'AMD': 332893.0997811593, 'NFLX': 153214.77096153027, 'QCOM': 5517.4873877945765, 'PYPL': 340016.251554747},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'ADBE': 197819.76838568875, 'AMD': 336654.4725768124, 'NFLX': 174487.573483481, 'QCOM': 186813.27858492115, 'PYPL': 104224.90696909695}","['ADBE', 'AMD', 'NFLX', 'QCOM', 'PYPL']","([0.16835839031476882, 0.33289309978115933, 0.15321477096153027, 0.005517487387794577, 0.340016251554747],)","({'ADBE': 168358.39031476883, 'AMD': 332893.0997811593, 'NFLX': 153214.77096153027, 'QCOM': 5517.4873877945765, 'PYPL': 340016.251554747},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'ADBE': 197819.76838568875, 'AMD': 336654.4725768124, 'NFLX': 174487.573483481, 'QCOM': 186813.27858492115, 'PYPL': 104224.90696909695}","['ADBE', 'AMD', 'NFLX', 'QCOM', 'PYPL']","([0.16835839031476882, 0.33289309978115933, 0.15321477096153027, 0.005517487387794577, 0.340016251554747],)","({'ADBE': 168358.39031476883, 'AMD': 332893.0997811593, 'NFLX': 153214.77096153027, 'QCOM': 5517.4873877945765, 'PYPL': 340016.251554747},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'ADBE': 197819.76838568875, 'AMD': 336654.4725768124, 'NFLX': 174487.573483481, 'QCOM': 186813.27858492115, 'PYPL': 104224.90696909695}"
"['ADBE', 'PEP', 'AMD', 'CMCSA', 'NFLX', 'INTU', 'TXN', 'QCOM', 'PYPL', 'AMGN']",5,"(2019, 1, 1)","(2020, 8, 1)",578,1000000,0.5,0.95,"([0.05340427247387225, 0.49668330127658544, 0.05647742580483299, 0.04438467619200088, 0.34905032425270843],)","({'ADBE': 53404.272473872246, 'AMD': 496683.30127658544, 'NFLX': 56477.42580483299, 'QCOM': 44384.67619200088, 'PYPL': 349050.3242527084},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'ADBE': 197819.76838568875, 'AMD': 336654.4725768124, 'NFLX': 174487.573483481, 'QCOM': 186813.27858492115, 'PYPL': 104224.90696909695}","['ADBE', 'AMD', 'NFLX', 'QCOM', 'PYPL']","([0.05340427247387225, 0.49668330127658544, 0.05647742580483299, 0.04438467619200088, 0.34905032425270843],)","({'ADBE': 53404.272473872246, 'AMD': 496683.30127658544, 'NFLX': 56477.42580483299, 'QCOM': 44384.67619200088, 'PYPL': 349050.3242527084},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'ADBE': 197819.76838568875, 'AMD': 336654.4725768124, 'NFLX': 174487.573483481, 'QCOM': 186813.27858492115, 'PYPL': 104224.90696909695}","['ADBE', 'PEP', 'AMD', 'NFLX', 'PYPL']","([0.08373004503528868, 0.45205585882140853, 0.04719679871184004, 0.0003877740908795284, 0.416629523340583],)","({'ADBE': 83730.04503528868, 'AMD': 452055.85882140853, 'NFLX': 47196.79871184004, 'TXN': 387.77409087952844, 'PYPL': 416629.523340583},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'ADBE': 197819.76838568875, 'PEP': 336654.4725768124, 'AMD': 174487.573483481, 'NFLX': 186813.27858492115, 'PYPL': 104224.90696909695}"
"['ADBE', 'PEP', 'AMD', 'CMCSA', 'NFLX', 'INTU', 'TXN', 'QCOM', 'PYPL', 'AMGN']",5,"(2019, 1, 1)","(2020, 9, 1)",609,1000000,0.5,0.95,"([0.09852899550723589, 0.5169786349016843, 0.054625410140634836, 0.007528531509707484, 0.3223384279407377],)","({'ADBE': 98528.99550723589, 'AMD': 516978.6349016843, 'NFLX': 54625.410140634835, 'QCOM': 7528.5315097074845, 'PYPL': 322338.4279407377},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'ADBE': 197819.76838568875, 'AMD': 336654.4725768124, 'NFLX': 174487.573483481, 'QCOM': 186813.27858492115, 'PYPL': 104224.90696909695}","['ADBE', 'AMD', 'NFLX', 'QCOM', 'PYPL']","([0.09852899550723589, 0.5169786349016843, 0.054625410140634836, 0.007528531509707484, 0.3223384279407377],)","({'ADBE': 98528.99550723589, 'AMD': 516978.6349016843, 'NFLX': 54625.410140634835, 'QCOM': 7528.5315097074845, 'PYPL': 322338.4279407377},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'ADBE': 197819.76838568875, 'AMD': 336654.4725768124, 'NFLX': 174487.573483481, 'QCOM': 186813.27858492115, 'PYPL': 104224.90696909695}","['ADBE', 'AMD', 'NFLX', 'QCOM', 'PYPL']","([0.09852899550723589, 0.5169786349016843, 0.054625410140634836, 0.007528531509707484, 0.3223384279407377],)","({'ADBE': 98528.99550723589, 'AMD': 516978.6349016843, 'NFLX': 54625.410140634835, 'QCOM': 7528.5315097074845, 'PYPL': 322338.4279407377},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'ADBE': 197819.76838568875, 'AMD': 336654.4725768124, 'NFLX': 174487.573483481, 'QCOM': 186813.27858492115, 'PYPL': 104224.90696909695}"
"['ADBE', 'PEP', 'AMD', 'CMCSA', 'NFLX', 'INTU', 'TXN', 'QCOM', 'PYPL', 'AMGN']",5,"(2019, 1, 1)","(2020, 10, 1)",639,1000000,0.5,0.95,"([0.11972357856732384, 0.5485025485296331, 0.019564098806815988, 0.018257419134691602, 0.29395235496153543],)","({'ADBE': 119723.57856732384, 'AMD': 548502.5485296331, 'NFLX': 19564.098806815986, 'QCOM': 18257.4191346916, 'PYPL': 293952.3549615354},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'ADBE': 197819.76838568875, 'AMD': 336654.4725768124, 'NFLX': 174487.573483481, 'QCOM': 186813.27858492115, 'PYPL': 104224.90696909695}","['ADBE', 'AMD', 'NFLX', 'QCOM', 'PYPL']","([0.11972357856732384, 0.5485025485296331, 0.019564098806815988, 0.018257419134691602, 0.29395235496153543],)","({'ADBE': 119723.57856732384, 'AMD': 548502.5485296331, 'NFLX': 19564.098806815986, 'QCOM': 18257.4191346916, 'PYPL': 293952.3549615354},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'ADBE': 197819.76838568875, 'AMD': 336654.4725768124, 'NFLX': 174487.573483481, 'QCOM': 186813.27858492115, 'PYPL': 104224.90696909695}","['ADBE', 'AMD', 'NFLX', 'PYPL', 'AMGN']","([0.15540456074290104, 0.542228336691723, 0.09807784659638016, 0.19889908422664743, 0.005390171742348493],)","({'ADBE': 155404.56074290106, 'AMD': 542228.336691723, 'NFLX': 98077.84659638016, 'PYPL': 198899.08422664742, 'AMGN': 5390.171742348492},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'ADBE': 197819.76838568875, 'AMD': 336654.4725768124, 'NFLX': 174487.573483481, 'PYPL': 186813.27858492115, 'AMGN': 104224.90696909695}"
"['ADBE', 'PEP', 'AMD', 'CMCSA', 'NFLX', 'INTU', 'TXN', 'QCOM', 'PYPL', 'AMGN']",5,"(2019, 1, 1)","(2020, 11, 1)",670,1000000,0.5,0.95,"([0.025958235324643735, 0.5178930708918126, 0.034101064811236884, 0.18470437274928525, 0.2373432562230218],)","({'ADBE': 25958.235324643734, 'AMD': 517893.07089181256, 'NFLX': 34101.06481123689, 'QCOM': 184704.37274928525, 'PYPL': 237343.2562230218},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'ADBE': 197819.76838568875, 'AMD': 336654.4725768124, 'NFLX': 174487.573483481, 'QCOM': 186813.27858492115, 'PYPL': 104224.90696909695}","['ADBE', 'AMD', 'NFLX', 'QCOM', 'PYPL']","([0.025958235324643735, 0.5178930708918126, 0.034101064811236884, 0.18470437274928525, 0.2373432562230218],)","({'ADBE': 25958.235324643734, 'AMD': 517893.07089181256, 'NFLX': 34101.06481123689, 'QCOM': 184704.37274928525, 'PYPL': 237343.2562230218},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'ADBE': 197819.76838568875, 'AMD': 336654.4725768124, 'NFLX': 174487.573483481, 'QCOM': 186813.27858492115, 'PYPL': 104224.90696909695}","['ADBE', 'AMD', 'NFLX', 'QCOM', 'PYPL']","([0.025958235324643735, 0.5178930708918126, 0.034101064811236884, 0.18470437274928525, 0.2373432562230218],)","({'ADBE': 25958.235324643734, 'AMD': 517893.07089181256, 'NFLX': 34101.06481123689, 'QCOM': 184704.37274928525, 'PYPL': 237343.2562230218},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'ADBE': 197819.76838568875, 'AMD': 336654.4725768124, 'NFLX': 174487.573483481, 'QCOM': 186813.27858492115, 'PYPL': 104224.90696909695}"
