Selected Stocks By User,How many Stocks to select?,Start Date,End Date,Duration,Portfolio Value,Risk Factor,Confidence Level,Optimal weigths by CVAR for Numpy,Amount to Invest in each Stock by CVAR for Numpy,Optimal weigths by MVO for Numpy,Amount to Invest in each Stock by MVO for Numpy,Optimal Stocks Selected by Numpy,Optimal weigths by CVAR for QAOA,Amount to Invest in each Stock by CVAR for QAOA,Optimal weigths by MVO for QAOA,Amount to Invest in each Stock by MVO for QAOA,Optimal Stocks Selected by QAOA,Optimal weigths by CVAR for Sampling VQE,Amount to Invest in each Stock by CVAR for Sampling VQE,Optimal weigths by MVO for Sampling VQE,Amount to Invest in each Stock by MVO for Sampling VQE
"['ADBE', 'PEP', 'AMD', 'CMCSA', 'NFLX', 'INTU', 'TXN', 'QCOM', 'PYPL', 'AMGN']",5,"(2018, 1, 1)","(2019, 1, 1)",365,1000000,0.5,0.95,"([0.004594175931817824, 0.37347267692350167, 0.09138627414888188, 0.4275365015410331, 0.10301037145476555],)","({'PEP': 4594.175931817824, 'AMD': 373472.67692350165, 'NFLX': 91386.27414888189, 'INTU': 427536.5015410331, 'AMGN': 103010.37145476555},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'PEP': 197819.76838568875, 'AMD': 336654.4725768124, 'NFLX': 174487.573483481, 'INTU': 186813.27858492115, 'AMGN': 104224.90696909695}","['PEP', 'AMD', 'NFLX', 'INTU', 'AMGN']","([0.004594175931817824, 0.37347267692350167, 0.09138627414888188, 0.4275365015410331, 0.10301037145476555],)","({'PEP': 4594.175931817824, 'AMD': 373472.67692350165, 'NFLX': 91386.27414888189, 'INTU': 427536.5015410331, 'AMGN': 103010.37145476555},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'ADBE': 197819.76838568875, 'PEP': 336654.4725768124, 'AMD': 174487.573483481, 'INTU': 186813.27858492115, 'AMGN': 104224.90696909695}","['PEP', 'AMD', 'NFLX', 'INTU', 'AMGN']","([0.0027955906926462335, 0.231422165969034, 0.5045576475573084, 0.016113706255380805, 0.2451108895256306],)","({'PEP': 2795.5906926462335, 'AMD': 231422.16596903402, 'INTU': 504557.6475573084, 'PYPL': 16113.706255380805, 'AMGN': 245110.8895256306},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'PEP': 197819.76838568875, 'AMD': 336654.4725768124, 'NFLX': 174487.573483481, 'INTU': 186813.27858492115, 'AMGN': 104224.90696909695}"
"['AAPL', 'MSFT', 'GOOG', 'AMZN', 'NVDA', 'META', 'TSLA', 'AVGO', 'ASML', 'COST']",5,"(2019, 1, 1)","(2019, 2, 1)",31,1000000,0.5,0.95,"([0.008135460658286119, 0.009246392791293915, 0.6283854188058469, 0.2947739219795174, 0.059458805765055835],)","({'GOOG': 8135.460658286119, 'AMZN': 9246.392791293914, 'META': 628385.4188058468, 'ASML': 294773.9219795174, 'COST': 59458.80576505583},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'GOOG': 197819.76838568875, 'AMZN': 336654.4725768124, 'META': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['GOOG', 'AMZN', 'META', 'ASML', 'COST']","([0.008135460658286119, 0.009246392791293915, 0.6283854188058469, 0.2947739219795174, 0.059458805765055835],)","({'GOOG': 8135.460658286119, 'AMZN': 9246.392791293914, 'META': 628385.4188058468, 'ASML': 294773.9219795174, 'COST': 59458.80576505583},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'GOOG': 197819.76838568875, 'AMZN': 336654.4725768124, 'META': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['AMZN', 'META', 'AVGO', 'ASML', 'COST']","([0.008135460658286119, 0.009246392791293915, 0.6283854188058469, 0.2947739219795174, 0.059458805765055835],)","({'GOOG': 8135.460658286119, 'AMZN': 9246.392791293914, 'META': 628385.4188058468, 'ASML': 294773.9219795174, 'COST': 59458.80576505583},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AMZN': 197819.76838568875, 'META': 336654.4725768124, 'AVGO': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}"
"['AAPL', 'MSFT', 'GOOG', 'AMZN', 'NVDA', 'META', 'TSLA', 'AVGO', 'ASML', 'COST']",5,"(2019, 1, 1)","(2019, 3, 1)",59,1000000,0.5,0.95,"([0.12418509988493151, 0.0006054437767623791, 0.21495287946690486, 0.25092099055409367, 0.4093355863173076],)","({'MSFT': 124185.09988493151, 'NVDA': 605.4437767623791, 'META': 214952.87946690485, 'ASML': 250920.99055409367, 'COST': 409335.5863173076},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'MSFT': 197819.76838568875, 'NVDA': 336654.4725768124, 'META': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['MSFT', 'NVDA', 'META', 'ASML', 'COST']","([0.12418509988493151, 0.0006054437767623791, 0.21495287946690486, 0.25092099055409367, 0.4093355863173076],)","({'MSFT': 124185.09988493151, 'NVDA': 605.4437767623791, 'META': 214952.87946690485, 'ASML': 250920.99055409367, 'COST': 409335.5863173076},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'MSFT': 197819.76838568875, 'NVDA': 336654.4725768124, 'META': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['AAPL', 'GOOG', 'META', 'AVGO', 'ASML']","([0.022097772437063616, 0.14963047201029556, 0.01793197345294146, 0.41494139639138905, 0.3953983857083104],)","({'AAPL': 22097.772437063617, 'MSFT': 149630.47201029555, 'NVDA': 17931.97345294146, 'META': 414941.3963913891, 'ASML': 395398.38570831035},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'GOOG': 336654.4725768124, 'META': 174487.573483481, 'AVGO': 186813.27858492115, 'ASML': 104224.90696909695}"
"['AAPL', 'MSFT', 'GOOG', 'AMZN', 'NVDA', 'META', 'TSLA', 'AVGO', 'ASML', 'COST']",5,"(2019, 1, 1)","(2019, 4, 1)",90,1000000,0.5,0.95,"([0.020367653598326037, 0.05949757707879491, 0.18056870494018584, 0.12399423403031085, 0.6155718303523824],)","({'AAPL': 20367.653598326036, 'NVDA': 59497.57707879491, 'META': 180568.70494018585, 'ASML': 123994.23403031085, 'COST': 615571.8303523824},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'NVDA': 336654.4725768124, 'META': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['AAPL', 'NVDA', 'META', 'ASML', 'COST']","([0.020367653598326037, 0.05949757707879491, 0.18056870494018584, 0.12399423403031085, 0.6155718303523824],)","({'AAPL': 20367.653598326036, 'NVDA': 59497.57707879491, 'META': 180568.70494018585, 'ASML': 123994.23403031085, 'COST': 615571.8303523824},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'NVDA': 336654.4725768124, 'META': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['AAPL', 'NVDA', 'META', 'AVGO', 'ASML']","([0.01102921604343171, 0.4348676776540694, 0.004572807446148443, 0.3856658061797895, 0.1638644926765609],)","({'AAPL': 11029.216043431708, 'MSFT': 434867.67765406944, 'NVDA': 4572.807446148443, 'META': 385665.80617978954, 'ASML': 163864.49267656088},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'NVDA': 336654.4725768124, 'META': 174487.573483481, 'AVGO': 186813.27858492115, 'ASML': 104224.90696909695}"
"['AAPL', 'MSFT', 'GOOG', 'AMZN', 'NVDA', 'META', 'TSLA', 'AVGO', 'ASML', 'COST']",5,"(2019, 1, 1)","(2019, 5, 1)",120,1000000,0.5,0.95,"([0.5132479056006208, 0.0009986055215973053, 0.32859058626618426, 0.02910422876855595, 0.12805867384304154],)","({'MSFT': 513247.90560062084, 'NVDA': 998.6055215973054, 'META': 328590.5862661843, 'AVGO': 29104.22876855595, 'ASML': 128058.67384304154},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'MSFT': 197819.76838568875, 'NVDA': 336654.4725768124, 'META': 174487.573483481, 'AVGO': 186813.27858492115, 'ASML': 104224.90696909695}","['MSFT', 'NVDA', 'META', 'AVGO', 'ASML']","([0.5132479056006208, 0.0009986055215973053, 0.32859058626618426, 0.02910422876855595, 0.12805867384304154],)","({'MSFT': 513247.90560062084, 'NVDA': 998.6055215973054, 'META': 328590.5862661843, 'AVGO': 29104.22876855595, 'ASML': 128058.67384304154},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'MSFT': 197819.76838568875, 'NVDA': 336654.4725768124, 'META': 174487.573483481, 'AVGO': 186813.27858492115, 'ASML': 104224.90696909695}","['AAPL', 'MSFT', 'META', 'AVGO', 'ASML']","([0.01102921604343171, 0.4348676776540694, 0.004572807446148443, 0.3856658061797895, 0.1638644926765609],)","({'AAPL': 11029.216043431708, 'MSFT': 434867.67765406944, 'NVDA': 4572.807446148443, 'META': 385665.80617978954, 'ASML': 163864.49267656088},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'MSFT': 336654.4725768124, 'META': 174487.573483481, 'AVGO': 186813.27858492115, 'ASML': 104224.90696909695}"
"['AAPL', 'MSFT', 'GOOG', 'AMZN', 'NVDA', 'META', 'TSLA', 'AVGO', 'ASML', 'COST']",5,"(2019, 1, 1)","(2019, 6, 1)",151,1000000,0.5,0.95,"([0.2539232077716177, 0.013523329718074458, 0.19022392564643856, 0.03493342960739388, 0.5073961072564754],)","({'MSFT': 253923.2077716177, 'AMZN': 13523.329718074458, 'META': 190223.92564643855, 'ASML': 34933.42960739388, 'COST': 507396.1072564754},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'MSFT': 197819.76838568875, 'AMZN': 336654.4725768124, 'META': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['MSFT', 'AMZN', 'META', 'ASML', 'COST']","([0.2539232077716177, 0.013523329718074458, 0.19022392564643856, 0.03493342960739388, 0.5073961072564754],)","({'MSFT': 253923.2077716177, 'AMZN': 13523.329718074458, 'META': 190223.92564643855, 'ASML': 34933.42960739388, 'COST': 507396.1072564754},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'MSFT': 197819.76838568875, 'AMZN': 336654.4725768124, 'META': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['MSFT', 'GOOG', 'AMZN', 'META', 'COST']","([0.01102921604343171, 0.4348676776540694, 0.004572807446148443, 0.3856658061797895, 0.1638644926765609],)","({'AAPL': 11029.216043431708, 'MSFT': 434867.67765406944, 'AMZN': 4572.807446148443, 'META': 385665.80617978954, 'ASML': 163864.49267656088},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'MSFT': 197819.76838568875, 'GOOG': 336654.4725768124, 'AMZN': 174487.573483481, 'META': 186813.27858492115, 'COST': 104224.90696909695}"
"['AAPL', 'MSFT', 'GOOG', 'AMZN', 'NVDA', 'META', 'TSLA', 'AVGO', 'ASML', 'COST']",5,"(2019, 1, 1)","(2019, 7, 1)",181,1000000,0.5,0.95,"([0.020367653598326037, 0.05949757707879491, 0.18056870494018584, 0.12399423403031085, 0.6155718303523824],)","({'AAPL': 20367.653598326036, 'MSFT': 59497.57707879491, 'META': 180568.70494018585, 'ASML': 123994.23403031085, 'COST': 615571.8303523824},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'MSFT': 336654.4725768124, 'META': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['AAPL', 'MSFT', 'META', 'ASML', 'COST']","([0.020367653598326037, 0.05949757707879491, 0.18056870494018584, 0.12399423403031085, 0.6155718303523824],)","({'AAPL': 20367.653598326036, 'MSFT': 59497.57707879491, 'META': 180568.70494018585, 'ASML': 123994.23403031085, 'COST': 615571.8303523824},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'MSFT': 336654.4725768124, 'META': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['AAPL', 'MSFT', 'META', 'ASML', 'COST']","([0.023589448781360902, 0.12220804625432331, 0.03462554728749687, 0.20970413141509822, 0.6098728262617208],)","({'AAPL': 23589.4487813609, 'AMZN': 122208.04625432332, 'NVDA': 34625.54728749688, 'ASML': 209704.13141509824, 'COST': 609872.8262617207},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'MSFT': 336654.4725768124, 'META': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}"
"['AAPL', 'MSFT', 'GOOG', 'AMZN', 'NVDA', 'META', 'TSLA', 'AVGO', 'ASML', 'COST']",5,"(2019, 1, 1)","(2019, 8, 1)",212,1000000,0.5,0.95,"([0.023202010212237792, 0.1266387260229194, 0.0805459072965626, 0.04621624144975194, 0.7233971150185282],)","({'AAPL': 23202.01021223779, 'MSFT': 126638.72602291939, 'META': 80545.9072965626, 'ASML': 46216.24144975194, 'COST': 723397.1150185282},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'MSFT': 336654.4725768124, 'META': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['AAPL', 'MSFT', 'META', 'ASML', 'COST']","([0.023202010212237792, 0.1266387260229194, 0.0805459072965626, 0.04621624144975194, 0.7233971150185282],)","({'AAPL': 23202.01021223779, 'MSFT': 126638.72602291939, 'META': 80545.9072965626, 'ASML': 46216.24144975194, 'COST': 723397.1150185282},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'MSFT': 336654.4725768124, 'META': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['AAPL', 'MSFT', 'META', 'ASML', 'COST']","([0.023589448781360902, 0.12220804625432331, 0.03462554728749687, 0.20970413141509822, 0.6098728262617208],)","({'MSFT': 23589.4487813609, 'META': 122208.04625432332, 'AVGO': 34625.54728749688, 'ASML': 209704.13141509824, 'COST': 609872.8262617207},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'MSFT': 336654.4725768124, 'META': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}"
"['AAPL', 'MSFT', 'GOOG', 'AMZN', 'NVDA', 'META', 'TSLA', 'AVGO', 'ASML', 'COST']",5,"(2019, 1, 1)","(2019, 9, 1)",243,1000000,0.5,0.95,"([0.023202010212237792, 0.1266387260229194, 0.0805459072965626, 0.04621624144975194, 0.7233971150185282],)","({'AAPL': 23202.01021223779, 'MSFT': 126638.72602291939, 'META': 80545.9072965626, 'ASML': 46216.24144975194, 'COST': 723397.1150185282},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'MSFT': 336654.4725768124, 'META': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['AAPL', 'MSFT', 'META', 'ASML', 'COST']","([0.023202010212237792, 0.1266387260229194, 0.0805459072965626, 0.04621624144975194, 0.7233971150185282],)","({'AAPL': 23202.01021223779, 'MSFT': 126638.72602291939, 'META': 80545.9072965626, 'ASML': 46216.24144975194, 'COST': 723397.1150185282},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'MSFT': 336654.4725768124, 'META': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['MSFT', 'AMZN', 'NVDA', 'ASML', 'COST']","([0.023202010212237792, 0.1266387260229194, 0.0805459072965626, 0.04621624144975194, 0.7233971150185282],)","({'AAPL': 23202.01021223779, 'MSFT': 126638.72602291939, 'META': 80545.9072965626, 'ASML': 46216.24144975194, 'COST': 723397.1150185282},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'MSFT': 197819.76838568875, 'AMZN': 336654.4725768124, 'NVDA': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}"
"['AAPL', 'MSFT', 'GOOG', 'AMZN', 'NVDA', 'META', 'TSLA', 'AVGO', 'ASML', 'COST']",5,"(2019, 1, 1)","(2019, 10, 1)",273,1000000,0.5,0.95,"([0.023589448781360902, 0.12220804625432331, 0.03462554728749687, 0.20970413141509822, 0.6098728262617208],)","({'AAPL': 23589.4487813609, 'MSFT': 122208.04625432332, 'META': 34625.54728749688, 'ASML': 209704.13141509824, 'COST': 609872.8262617207},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'MSFT': 336654.4725768124, 'META': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['AAPL', 'MSFT', 'META', 'ASML', 'COST']","([0.023589448781360902, 0.12220804625432331, 0.03462554728749687, 0.20970413141509822, 0.6098728262617208],)","({'AAPL': 23589.4487813609, 'MSFT': 122208.04625432332, 'META': 34625.54728749688, 'ASML': 209704.13141509824, 'COST': 609872.8262617207},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'MSFT': 336654.4725768124, 'META': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}","['AAPL', 'NVDA', 'META', 'ASML', 'COST']","([0.023589448781360902, 0.12220804625432331, 0.03462554728749687, 0.20970413141509822, 0.6098728262617208],)","({'AAPL': 23589.4487813609, 'MSFT': 122208.04625432332, 'AVGO': 34625.54728749688, 'ASML': 209704.13141509824, 'COST': 609872.8262617207},)","[0.19781976838568874, 0.33665447257681236, 0.174487573483481, 0.18681327858492114, 0.10422490696909695]","{'AAPL': 197819.76838568875, 'NVDA': 336654.4725768124, 'META': 174487.573483481, 'ASML': 186813.27858492115, 'COST': 104224.90696909695}"
